Pokeball,Pokemon,Probability,Status
pokeball,caterpie,0.4981,POISON
pokeball,caterpie,0.4981,BURN
pokeball,caterpie,0.4981,PARALYSIS
pokeball,caterpie,0.6641,SLEEP
pokeball,caterpie,0.6641,FREEZE
pokeball,caterpie,0.332,NONE
ultraball,caterpie,0.9961,POISON
ultraball,caterpie,0.9961,BURN
ultraball,caterpie,0.9961,PARALYSIS
ultraball,caterpie,1,SLEEP
ultraball,caterpie,1,FREEZE
ultraball,caterpie,0.6641,NONE
heavyball,caterpie,0.459,POISON
heavyball,caterpie,0.459,BURN
heavyball,caterpie,0.459,PARALYSIS
heavyball,caterpie,0.612,SLEEP
heavyball,caterpie,0.612,FREEZE
heavyball,caterpie,0.306,NONE
fastball,caterpie,0.4981,POISON
fastball,caterpie,0.4981,BURN
fastball,caterpie,0.4981,PARALYSIS
fastball,caterpie,0.6641,SLEEP
fastball,caterpie,0.6641,FREEZE
fastball,caterpie,0.332,NONE
