Pokeball,Pokemon,Probability,Status
pokeball,mewtwo,0.0059,POISON
pokeball,mewtwo,0.0059,BURN
pokeball,mewtwo,0.0059,PARALYSIS
pokeball,mewtwo,0.0078,SLEEP
pokeball,mewtwo,0.0078,FREEZE
pokeball,mewtwo,0.0039,NONE
ultraball,mewtwo,0.0117,POISON
ultraball,mewtwo,0.0117,BURN
ultraball,mewtwo,0.0117,PARALYSIS
ultraball,mewtwo,0.0156,SLEEP
ultraball,mewtwo,0.0156,FREEZE
ultraball,mewtwo,0.0078,NONE
heavyball,mewtwo,0.002,POISON
heavyball,mewtwo,0.002,BURN
heavyball,mewtwo,0.002,PARALYSIS
heavyball,mewtwo,0.0026,SLEEP
heavyball,mewtwo,0.0026,FREEZE
heavyball,mewtwo,0.0013,NONE
fastball,mewtwo,0.0234,POISON
fastball,mewtwo,0.0234,BURN
fastball,mewtwo,0.0234,PARALYSIS
fastball,mewtwo,0.0313,SLEEP
fastball,mewtwo,0.0313,FREEZE
fastball,mewtwo,0.0156,NONE
