Pokeball,Pokemon,Probability,Status
pokeball,onix,0.0879,POISON
pokeball,onix,0.0879,BURN
pokeball,onix,0.0879,PARALYSIS
pokeball,onix,0.1172,SLEEP
pokeball,onix,0.1172,FREEZE
pokeball,onix,0.0586,NONE
ultraball,onix,0.1758,POISON
ultraball,onix,0.1758,BURN
ultraball,onix,0.1758,PARALYSIS
ultraball,onix,0.2344,SLEEP
ultraball,onix,0.2344,FREEZE
ultraball,onix,0.1172,NONE
heavyball,onix,0.127,POISON
heavyball,onix,0.127,BURN
heavyball,onix,0.127,PARALYSIS
heavyball,onix,0.1693,SLEEP
heavyball,onix,0.1693,FREEZE
heavyball,onix,0.0846,NONE
fastball,onix,0.0879,POISON
fastball,onix,0.0879,BURN
fastball,onix,0.0879,PARALYSIS
fastball,onix,0.1172,SLEEP
fastball,onix,0.1172,FREEZE
fastball,onix,0.0586,NONE
