Pokeball,Pokemon,Probability,Status
pokeball,snorlax,0.0488,POISON
pokeball,snorlax,0.0488,BURN
pokeball,snorlax,0.0488,PARALYSIS
pokeball,snorlax,0.0651,SLEEP
pokeball,snorlax,0.0651,FREEZE
pokeball,snorlax,0.0326,NONE
ultraball,snorlax,0.0977,POISON
ultraball,snorlax,0.0977,BURN
ultraball,snorlax,0.0977,PARALYSIS
ultraball,snorlax,0.1302,SLEEP
ultraball,snorlax,0.1302,FREEZE
ultraball,snorlax,0.0651,NONE
heavyball,snorlax,0.127,POISON
heavyball,snorlax,0.127,BURN
heavyball,snorlax,0.127,PARALYSIS
heavyball,snorlax,0.1693,SLEEP
heavyball,snorlax,0.1693,FREEZE
heavyball,snorlax,0.0846,NONE
fastball,snorlax,0.0488,POISON
fastball,snorlax,0.0488,BURN
fastball,snorlax,0.0488,PARALYSIS
fastball,snorlax,0.0651,SLEEP
fastball,snorlax,0.0651,FREEZE
fastball,snorlax,0.0326,NONE
