Pokeball,Pokemon,Probability,Current HP
pokeball,caterpie,0.332,1.0
pokeball,caterpie,0.3441,0.99
pokeball,caterpie,0.3502,0.98
pokeball,caterpie,0.3562,0.97
pokeball,caterpie,0.3622,0.96
pokeball,caterpie,0.3683,0.95
pokeball,caterpie,0.3743,0.94
pokeball,caterpie,0.3803,0.93
pokeball,caterpie,0.3864,0.92
pokeball,caterpie,0.3924,0.91
pokeball,caterpie,0.3984,0.9
pokeball,caterpie,0.4105,0.89
pokeball,caterpie,0.4166,0.88
pokeball,caterpie,0.4226,0.87
pokeball,caterpie,0.4286,0.86
pokeball,caterpie,0.4347,0.85
pokeball,caterpie,0.4407,0.84
pokeball,caterpie,0.4467,0.83
pokeball,caterpie,0.4528,0.82
pokeball,caterpie,0.4588,0.81
pokeball,caterpie,0.4649,0.8
pokeball,caterpie,0.4769,0.79
pokeball,caterpie,0.483,0.78
pokeball,caterpie,0.489,0.77
pokeball,caterpie,0.495,0.76
pokeball,caterpie,0.5011,0.75
pokeball,caterpie,0.5071,0.74
pokeball,caterpie,0.5132,0.73
pokeball,caterpie,0.5192,0.72
pokeball,caterpie,0.5252,0.71
pokeball,caterpie,0.5313,0.7
pokeball,caterpie,0.5433,0.69
pokeball,caterpie,0.5494,0.68
pokeball,caterpie,0.5554,0.67
pokeball,caterpie,0.5614,0.66
pokeball,caterpie,0.5675,0.65
pokeball,caterpie,0.5735,0.64
pokeball,caterpie,0.5796,0.63
pokeball,caterpie,0.5856,0.62
pokeball,caterpie,0.5916,0.61
pokeball,caterpie,0.5977,0.6
pokeball,caterpie,0.6097,0.59
pokeball,caterpie,0.6158,0.58
pokeball,caterpie,0.6218,0.57
pokeball,caterpie,0.6279,0.56
pokeball,caterpie,0.6339,0.55
pokeball,caterpie,0.6399,0.54
pokeball,caterpie,0.646,0.53
pokeball,caterpie,0.652,0.52
pokeball,caterpie,0.658,0.51
pokeball,caterpie,0.6641,0.5
pokeball,caterpie,0.6761,0.49
pokeball,caterpie,0.6822,0.48
pokeball,caterpie,0.6882,0.47
pokeball,caterpie,0.6943,0.46
pokeball,caterpie,0.7003,0.45
pokeball,caterpie,0.7063,0.44
pokeball,caterpie,0.7124,0.43
pokeball,caterpie,0.7184,0.42
pokeball,caterpie,0.7244,0.41
pokeball,caterpie,0.7305,0.4
pokeball,caterpie,0.7426,0.39
pokeball,caterpie,0.7486,0.38
pokeball,caterpie,0.7546,0.37
pokeball,caterpie,0.7607,0.36
pokeball,caterpie,0.7667,0.35
pokeball,caterpie,0.7727,0.34
pokeball,caterpie,0.7788,0.33
pokeball,caterpie,0.7848,0.32
pokeball,caterpie,0.7908,0.31
pokeball,caterpie,0.7969,0.3
pokeball,caterpie,0.809,0.29
pokeball,caterpie,0.815,0.28
pokeball,caterpie,0.821,0.27
pokeball,caterpie,0.8271,0.26
pokeball,caterpie,0.8331,0.25
pokeball,caterpie,0.8391,0.24
pokeball,caterpie,0.8452,0.23
pokeball,caterpie,0.8512,0.22
pokeball,caterpie,0.8573,0.21
pokeball,caterpie,0.8633,0.2
pokeball,caterpie,0.8754,0.19
pokeball,caterpie,0.8814,0.18
pokeball,caterpie,0.8874,0.17
pokeball,caterpie,0.8935,0.16
pokeball,caterpie,0.8995,0.15
pokeball,caterpie,0.9056,0.14
pokeball,caterpie,0.9116,0.13
pokeball,caterpie,0.9176,0.12
pokeball,caterpie,0.9237,0.11
pokeball,caterpie,0.9297,0.1
pokeball,caterpie,0.9418,0.09
pokeball,caterpie,0.9478,0.08
pokeball,caterpie,0.9538,0.07
pokeball,caterpie,0.9599,0.06
pokeball,caterpie,0.9659,0.05
pokeball,caterpie,0.972,0.04
pokeball,caterpie,0.978,0.03
pokeball,caterpie,0.984,0.02
pokeball,caterpie,0.9901,0.01
ultraball,caterpie,0.6641,1.0
ultraball,caterpie,0.6882,0.99
ultraball,caterpie,0.7003,0.98
ultraball,caterpie,0.7124,0.97
ultraball,caterpie,0.7244,0.96
ultraball,caterpie,0.7365,0.95
ultraball,caterpie,0.7486,0.94
ultraball,caterpie,0.7607,0.93
ultraball,caterpie,0.7727,0.92
ultraball,caterpie,0.7848,0.91
ultraball,caterpie,0.7969,0.9
ultraball,caterpie,0.821,0.89
ultraball,caterpie,0.8331,0.88
ultraball,caterpie,0.8452,0.87
ultraball,caterpie,0.8573,0.86
ultraball,caterpie,0.8693,0.85
ultraball,caterpie,0.8814,0.84
ultraball,caterpie,0.8935,0.83
ultraball,caterpie,0.9056,0.82
ultraball,caterpie,0.9176,0.81
ultraball,caterpie,0.9297,0.8
ultraball,caterpie,0.9538,0.79
ultraball,caterpie,0.9659,0.78
