Pokeball,Pokemon,Probability,Current HP
pokeball,jolteon,0.0586,1.0
pokeball,jolteon,0.0607,0.99
pokeball,jolteon,0.0618,0.98
pokeball,jolteon,0.0628,0.97
pokeball,jolteon,0.0639,0.96
pokeball,jolteon,0.0649,0.95
pokeball,jolteon,0.066,0.94
pokeball,jolteon,0.0671,0.93
pokeball,jolteon,0.0681,0.92
pokeball,jolteon,0.0692,0.91
pokeball,jolteon,0.0713,0.9
pokeball,jolteon,0.0723,0.89
pokeball,jolteon,0.0734,0.88
pokeball,jolteon,0.0744,0.87
pokeball,jolteon,0.0755,0.86
pokeball,jolteon,0.0766,0.85
pokeball,jolteon,0.0776,0.84
pokeball,jolteon,0.0787,0.83
pokeball,jolteon,0.0797,0.82
pokeball,jolteon,0.0818,0.81
pokeball,jolteon,0.0829,0.8
pokeball,jolteon,0.0839,0.79
pokeball,jolteon,0.085,0.78
pokeball,jolteon,0.0861,0.77
pokeball,jolteon,0.0871,0.76
pokeball,jolteon,0.0882,0.75
pokeball,jolteon,0.0892,0.74
pokeball,jolteon,0.0903,0.73
pokeball,jolteon,0.0924,0.72
pokeball,jolteon,0.0934,0.71
pokeball,jolteon,0.0945,0.7
pokeball,jolteon,0.0956,0.69
pokeball,jolteon,0.0966,0.68
pokeball,jolteon,0.0977,0.67
pokeball,jolteon,0.0987,0.66
pokeball,jolteon,0.0998,0.65
pokeball,jolteon,0.1008,0.64
pokeball,jolteon,0.1029,0.63
pokeball,jolteon,0.104,0.62
pokeball,jolteon,0.1051,0.61
pokeball,jolteon,0.1061,0.6
pokeball,jolteon,0.1072,0.59
pokeball,jolteon,0.1082,0.58
pokeball,jolteon,0.1093,0.57
pokeball,jolteon,0.1103,0.56
pokeball,jolteon,0.1114,0.55
pokeball,jolteon,0.1135,0.54
pokeball,jolteon,0.1146,0.53
pokeball,jolteon,0.1156,0.52
pokeball,jolteon,0.1167,0.51
pokeball,jolteon,0.1177,0.5
pokeball,jolteon,0.1188,0.49
pokeball,jolteon,0.1198,0.48
pokeball,jolteon,0.1209,0.47
pokeball,jolteon,0.122,0.46
pokeball,jolteon,0.1241,0.45
pokeball,jolteon,0.1251,0.44
pokeball,jolteon,0.1262,0.43
pokeball,jolteon,0.1272,0.42
pokeball,jolteon,0.1283,0.41
pokeball,jolteon,0.1293,0.4
pokeball,jolteon,0.1304,0.39
pokeball,jolteon,0.1315,0.38
pokeball,jolteon,0.1325,0.37
pokeball,jolteon,0.1346,0.36
pokeball,jolteon,0.1357,0.35
pokeball,jolteon,0.1367,0.34
pokeball,jolteon,0.1378,0.33
pokeball,jolteon,0.1388,0.32
pokeball,jolteon,0.1399,0.31
pokeball,jolteon,0.141,0.3
pokeball,jolteon,0.142,0.29
pokeball,jolteon,0.1431,0.28
pokeball,jolteon,0.1452,0.27
pokeball,jolteon,0.1462,0.26
pokeball,jolteon,0.1473,0.25
pokeball,jolteon,0.1483,0.24
pokeball,jolteon,0.1494,0.23
pokeball,jolteon,0.1505,0.22
pokeball,jolteon,0.1515,0.21
pokeball,jolteon,0.1526,0.2
pokeball,jolteon,0.1536,0.19
pokeball,jolteon,0.1557,0.18
pokeball,jolteon,0.1568,0.17
pokeball,jolteon,0.1578,0.16
pokeball,jolteon,0.1589,0.15
pokeball,jolteon,0.16,0.14
pokeball,jolteon,0.161,0.13
pokeball,jolteon,0.1621,0.12
pokeball,jolteon,0.1631,0.11
pokeball,jolteon,0.1642,0.1
pokeball,jolteon,0.1663,0.09
pokeball,jolteon,0.1673,0.08
pokeball,jolteon,0.1684,0.07
pokeball,jolteon,0.1695,0.06
pokeball,jolteon,0.1705,0.05
pokeball,jolteon,0.1716,0.04
pokeball,jolteon,0.1726,0.03
pokeball,jolteon,0.1737,0.02
pokeball,jolteon,0.1747,0.01
ultraball,jolteon,0.1172,1.0
ultraball,jolteon,0.1214,0.99
ultraball,jolteon,0.1235,0.98
ultraball,jolteon,0.1256,0.97
ultraball,jolteon,0.1278,0.96
ultraball,jolteon,0.1299,0.95
ultraball,jolteon,0.132,0.94
ultraball,jolteon,0.1341,0.93
ultraball,jolteon,0.1362,0.92
ultraball,jolteon,0.1383,0.91
ultraball,jolteon,0.1425,0.9
ultraball,jolteon,0.1446,0.89
ultraball,jolteon,0.1468,0.88
ultraball,jolteon,0.1489,0.87
ultraball,jolteon,0.151,0.86
ultraball,jolteon,0.1531,0.85
ultraball,jolteon,0.1552,0.84
ultraball,jolteon,0.1573,0.83
ultraball,jolteon,0.1594,0.82
ultraball,jolteon,0.1637,0.81
ultraball,jolteon,0.1658,0.8
