Pokeball,Pokemon,Probability,Current HP
pokeball,mewtwo,0.0039,1.0
pokeball,mewtwo,0.0041,0.99
pokeball,mewtwo,0.0041,0.98
pokeball,mewtwo,0.0042,0.97
pokeball,mewtwo,0.0043,0.96
pokeball,mewtwo,0.0043,0.95
pokeball,mewtwo,0.0044,0.94
pokeball,mewtwo,0.0045,0.93
pokeball,mewtwo,0.0045,0.92
pokeball,mewtwo,0.0047,0.91
pokeball,mewtwo,0.0048,0.9
pokeball,mewtwo,0.0048,0.89
pokeball,mewtwo,0.0049,0.88
pokeball,mewtwo,0.005,0.87
pokeball,mewtwo,0.005,0.86
pokeball,mewtwo,0.0051,0.85
pokeball,mewtwo,0.0052,0.84
pokeball,mewtwo,0.0053,0.83
pokeball,mewtwo,0.0054,0.82
pokeball,mewtwo,0.0055,0.81
pokeball,mewtwo,0.0055,0.8
pokeball,mewtwo,0.0056,0.79
pokeball,mewtwo,0.0057,0.78
pokeball,mewtwo,0.0057,0.77
pokeball,mewtwo,0.0058,0.76
pokeball,mewtwo,0.0059,0.75
pokeball,mewtwo,0.006,0.74
pokeball,mewtwo,0.0061,0.73
pokeball,mewtwo,0.0062,0.72
pokeball,mewtwo,0.0062,0.71
pokeball,mewtwo,0.0063,0.7
pokeball,mewtwo,0.0064,0.69
pokeball,mewtwo,0.0064,0.68
pokeball,mewtwo,0.0065,0.67
pokeball,mewtwo,0.0066,0.66
pokeball,mewtwo,0.0067,0.65
pokeball,mewtwo,0.0068,0.64
pokeball,mewtwo,0.0068,0.63
pokeball,mewtwo,0.0069,0.62
pokeball,mewtwo,0.007,0.61
pokeball,mewtwo,0.0071,0.6
pokeball,mewtwo,0.0071,0.59
pokeball,mewtwo,0.0073,0.58
pokeball,mewtwo,0.0073,0.57
pokeball,mewtwo,0.0074,0.56
pokeball,mewtwo,0.0075,0.55
pokeball,mewtwo,0.0075,0.54
pokeball,mewtwo,0.0076,0.53
pokeball,mewtwo,0.0077,0.52
pokeball,mewtwo,0.0078,0.51
pokeball,mewtwo,0.0078,0.5
pokeball,mewtwo,0.008,0.49
pokeball,mewtwo,0.008,0.48
pokeball,mewtwo,0.0081,0.47
pokeball,mewtwo,0.0082,0.46
pokeball,mewtwo,0.0082,0.45
pokeball,mewtwo,0.0083,0.44
pokeball,mewtwo,0.0084,0.43
pokeball,mewtwo,0.0085,0.42
pokeball,mewtwo,0.0086,0.41
pokeball,mewtwo,0.0087,0.4
pokeball,mewtwo,0.0087,0.39
pokeball,mewtwo,0.0088,0.38
pokeball,mewtwo,0.0089,0.37
pokeball,mewtwo,0.0089,0.36
pokeball,mewtwo,0.009,0.35
pokeball,mewtwo,0.0091,0.34
pokeball,mewtwo,0.0092,0.33
pokeball,mewtwo,0.0093,0.32
pokeball,mewtwo,0.0094,0.31
pokeball,mewtwo,0.0094,0.3
pokeball,mewtwo,0.0095,0.29
pokeball,mewtwo,0.0096,0.28
pokeball,mewtwo,0.0096,0.27
pokeball,mewtwo,0.0097,0.26
pokeball,mewtwo,0.0098,0.25
pokeball,mewtwo,0.0099,0.24
pokeball,mewtwo,0.01,0.23
pokeball,mewtwo,0.0101,0.22
pokeball,mewtwo,0.0101,0.21
pokeball,mewtwo,0.0102,0.2
pokeball,mewtwo,0.0103,0.19
pokeball,mewtwo,0.0103,0.18
pokeball,mewtwo,0.0104,0.17
pokeball,mewtwo,0.0105,0.16
pokeball,mewtwo,0.0106,0.15
pokeball,mewtwo,0.0107,0.14
pokeball,mewtwo,0.0108,0.13
pokeball,mewtwo,0.0108,0.12
pokeball,mewtwo,0.0109,0.11
pokeball,mewtwo,0.011,0.1
pokeball,mewtwo,0.011,0.09
pokeball,mewtwo,0.0112,0.08
pokeball,mewtwo,0.0112,0.07
pokeball,mewtwo,0.0113,0.06
pokeball,mewtwo,0.0114,0.05
pokeball,mewtwo,0.0115,0.04
pokeball,mewtwo,0.0115,0.03
pokeball,mewtwo,0.0116,0.02
pokeball,mewtwo,0.0117,0.01
ultraball,mewtwo,0.0078,1.0
ultraball,mewtwo,0.0081,0.99
ultraball,mewtwo,0.0082,0.98
ultraball,mewtwo,0.0084,0.97
ultraball,mewtwo,0.0085,0.96
