Pokeball,Pokemon,Probability,Current HP
pokeball,snorlax,0.0326,1.0
pokeball,snorlax,0.0337,0.99
pokeball,snorlax,0.0343,0.98
pokeball,snorlax,0.0349,0.97
pokeball,snorlax,0.0354,0.96
pokeball,snorlax,0.036,0.95
pokeball,snorlax,0.0366,0.94
pokeball,snorlax,0.0372,0.93
pokeball,snorlax,0.0383,0.92
pokeball,snorlax,0.0389,0.91
pokeball,snorlax,0.0395,0.9
pokeball,snorlax,0.0401,0.89
pokeball,snorlax,0.0406,0.88
pokeball,snorlax,0.0412,0.87
pokeball,snorlax,0.0418,0.86
pokeball,snorlax,0.0424,0.85
pokeball,snorlax,0.0435,0.84
pokeball,snorlax,0.0441,0.83
pokeball,snorlax,0.0447,0.82
pokeball,snorlax,0.0452,0.81
pokeball,snorlax,0.0458,0.8
pokeball,snorlax,0.0464,0.79
pokeball,snorlax,0.047,0.78
pokeball,snorlax,0.0475,0.77
pokeball,snorlax,0.0487,0.76
pokeball,snorlax,0.0493,0.75
pokeball,snorlax,0.0498,0.74
pokeball,snorlax,0.0504,0.73
pokeball,snorlax,0.051,0.72
pokeball,snorlax,0.0516,0.71
pokeball,snorlax,0.0522,0.7
pokeball,snorlax,0.0533,0.69
pokeball,snorlax,0.0539,0.68
pokeball,snorlax,0.0545,0.67
pokeball,snorlax,0.055,0.66
pokeball,snorlax,0.0556,0.65
pokeball,snorlax,0.0562,0.64
pokeball,snorlax,0.0568,0.63
pokeball,snorlax,0.0573,0.62
pokeball,snorlax,0.0585,0.61
pokeball,snorlax,0.0591,0.6
pokeball,snorlax,0.0596,0.59
pokeball,snorlax,0.0602,0.58
pokeball,snorlax,0.0608,0.57
pokeball,snorlax,0.0614,0.56
pokeball,snorlax,0.0619,0.55
pokeball,snorlax,0.0625,0.54
pokeball,snorlax,0.0637,0.53
pokeball,snorlax,0.0643,0.52
pokeball,snorlax,0.0648,0.51
pokeball,snorlax,0.0654,0.5
pokeball,snorlax,0.066,0.49
pokeball,snorlax,0.0666,0.48
pokeball,snorlax,0.0671,0.47
pokeball,snorlax,0.0683,0.46
pokeball,snorlax,0.0689,0.45
pokeball,snorlax,0.0694,0.44
pokeball,snorlax,0.07,0.43
