map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl2,A_STAR,Deadlock,1,3.325702667236328,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,2,3.5767455101013184,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,3,3.9739251136779785,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,4,3.3695433139801025,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,5,3.3728885650634766,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,6,3.326765775680542,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,7,3.452453851699829,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,8,3.335855007171631,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,9,3.9546573162078857,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,10,3.454052448272705,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,11,3.413167953491211,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,12,4.107658863067627,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,13,3.547827959060669,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,14,3.3818447589874268,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,15,3.5101094245910645,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,16,3.3326194286346436,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,17,3.3308677673339844,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,18,3.297177791595459,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,19,3.3966314792633057,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,20,3.3376333713531494,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,21,3.3184139728546143,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,22,3.4283061027526855,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,23,3.4075636863708496,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,24,3.380622386932373,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,25,3.3224501609802246,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,26,3.47406005859375,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,27,3.327894926071167,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,28,3.3709871768951416,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,29,3.3546369075775146,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,30,3.306244373321533,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,31,3.397428035736084,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,32,3.3868868350982666,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,33,3.3617022037506104,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,34,3.4933829307556152,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,35,3.334339141845703,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,36,3.3446240425109863,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,37,3.3187897205352783,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,38,3.399529457092285,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,39,3.3695385456085205,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,40,3.3711416721343994,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,41,3.4370436668395996,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,42,3.3746654987335205,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,43,3.35931396484375,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,44,3.3275182247161865,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,45,3.4586122035980225,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,46,3.3032658100128174,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,47,3.356083393096924,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,48,3.347463369369507,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,49,3.3189680576324463,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,50,3.446467399597168,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,51,3.3766865730285645,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,52,3.385057210922241,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,53,3.4660003185272217,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,54,3.319901943206787,109754,14858,SUCCESS,51
lvl2,A_STAR,Deadlock,55,3.3476173877716064,109754,14858,SUCCESS,51
