map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl5,A_STAR,ManhattanDistance1,1,6.9953203201293945,226590,12462,SUCCESS,52
lvl5,A_STAR,ManhattanDistance1,2,6.568857192993164,226590,12462,SUCCESS,52
lvl5,A_STAR,ManhattanDistance1,3,6.972453355789185,226590,12462,SUCCESS,52
lvl5,A_STAR,ManhattanDistance2,1,6.765725374221802,204542,19961,SUCCESS,52
lvl5,A_STAR,ManhattanDistance2,2,6.786127328872681,204542,19961,SUCCESS,52
lvl5,A_STAR,ManhattanDistance2,3,6.601765155792236,204542,19961,SUCCESS,52
lvl5,A_STAR,ManhattanDistance3,1,7.987706184387207,276567,13919,SUCCESS,52
lvl5,A_STAR,ManhattanDistance3,2,8.186630010604858,276567,13919,SUCCESS,52
lvl5,A_STAR,ManhattanDistance3,3,8.17123007774353,276567,13919,SUCCESS,52
lvl5,A_STAR,Smarthattan,1,2.571019411087036,65837,14469,SUCCESS,53
lvl5,A_STAR,Smarthattan,2,2.302781343460083,65837,14469,SUCCESS,53
lvl5,A_STAR,Smarthattan,3,2.4763457775115967,65837,14469,SUCCESS,53
lvl5,A_STAR,Inadmissible,1,1.0720860958099365,37094,14254,SUCCESS,55
lvl5,A_STAR,Inadmissible,2,1.0932416915893555,37094,14254,SUCCESS,55
lvl5,A_STAR,Inadmissible,3,1.1203665733337402,37094,14254,SUCCESS,55
