map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl1,BFS,,1,0.48570966720581055,32743,21,SUCCESS,78
lvl1,BFS,,2,0.41013002395629883,32743,21,SUCCESS,78
lvl1,BFS,,3,0.46803903579711914,32743,21,SUCCESS,78
lvl1,BFS,,4,0.4351186752319336,32743,21,SUCCESS,78
lvl1,BFS,,5,0.4787254333496094,32743,21,SUCCESS,78
lvl1,BFS,,6,0.41858386993408203,32743,21,SUCCESS,78
lvl1,BFS,,7,0.47983551025390625,32743,21,SUCCESS,78
lvl1,BFS,,8,0.4182748794555664,32743,21,SUCCESS,78
lvl1,BFS,,9,0.4846045970916748,32743,21,SUCCESS,78
lvl1,BFS,,10,0.4161226749420166,32743,21,SUCCESS,78
lvl1,GREEDY_GLOBAL,ManhattanDistance1- DeadlockCorner,1,0.013484716415405273,1198,105,SUCCESS,104
lvl1,GREEDY_GLOBAL,ManhattanDistance1- DeadlockCorner,2,0.012422800064086914,1198,105,SUCCESS,104
lvl1,GREEDY_GLOBAL,ManhattanDistance1- DeadlockCorner,3,0.011823177337646484,1198,105,SUCCESS,104
lvl1,GREEDY_GLOBAL,ManhattanDistance1- DeadlockCorner,4,0.012111186981201172,1198,105,SUCCESS,104
lvl1,GREEDY_GLOBAL,ManhattanDistance1- DeadlockCorner,5,0.012849092483520508,1198,105,SUCCESS,104
lvl1,GREEDY_GLOBAL,ManhattanDistance1- DeadlockCorner,6,0.012693643569946289,1198,105,SUCCESS,104
lvl1,GREEDY_GLOBAL,ManhattanDistance1- DeadlockCorner,7,0.012798547744750977,1198,105,SUCCESS,104
lvl1,GREEDY_GLOBAL,ManhattanDistance1- DeadlockCorner,8,0.04333043098449707,1198,105,SUCCESS,104
lvl1,GREEDY_GLOBAL,ManhattanDistance1- DeadlockCorner,9,0.012042045593261719,1198,105,SUCCESS,104
lvl1,GREEDY_GLOBAL,ManhattanDistance1- DeadlockCorner,10,0.012285947799682617,1198,105,SUCCESS,104
lvl1,A_STAR,ManhattanDistance1- DeadlockCorner,1,0.2791283130645752,16652,268,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1- DeadlockCorner,2,0.29433250427246094,16652,268,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1- DeadlockCorner,3,0.35002636909484863,16652,268,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1- DeadlockCorner,4,0.2776951789855957,16652,268,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1- DeadlockCorner,5,0.2776060104370117,16652,268,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1- DeadlockCorner,6,0.31568431854248047,16652,268,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1- DeadlockCorner,7,0.3686189651489258,16652,268,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1- DeadlockCorner,8,0.2997758388519287,16652,268,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1- DeadlockCorner,9,0.2898240089416504,16652,268,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1- DeadlockCorner,10,0.27168846130371094,16652,268,SUCCESS,78
lvl1,DFS,,1,0.12902522087097168,12924,350,SUCCESS,956
lvl1,DFS,,2,0.13539958000183105,12924,350,SUCCESS,956
lvl1,DFS,,3,0.1291942596435547,12924,350,SUCCESS,956
lvl1,DFS,,4,0.12599611282348633,12924,350,SUCCESS,956
lvl1,DFS,,5,0.1288919448852539,12924,350,SUCCESS,956
lvl1,DFS,,6,0.1322615146636963,12924,350,SUCCESS,956
lvl1,DFS,,7,0.12874412536621094,12924,350,SUCCESS,956
lvl1,DFS,,8,0.13217425346374512,12924,350,SUCCESS,956
lvl1,DFS,,9,0.12973737716674805,12924,350,SUCCESS,956
lvl1,DFS,,10,0.13343524932861328,12924,350,SUCCESS,956
lvl1,GREEDY_LOCAL,ManhattanDistance1- DeadlockCorner,1,0.026973724365234375,2392,133,SUCCESS,330
lvl1,GREEDY_LOCAL,ManhattanDistance1- DeadlockCorner,2,0.05708003044128418,2392,133,SUCCESS,330
lvl1,GREEDY_LOCAL,ManhattanDistance1- DeadlockCorner,3,0.026802539825439453,2392,133,SUCCESS,330
lvl1,GREEDY_LOCAL,ManhattanDistance1- DeadlockCorner,4,0.02688741683959961,2392,133,SUCCESS,330
lvl1,GREEDY_LOCAL,ManhattanDistance1- DeadlockCorner,5,0.027006149291992188,2392,133,SUCCESS,330
lvl1,GREEDY_LOCAL,ManhattanDistance1- DeadlockCorner,6,0.02761387825012207,2392,133,SUCCESS,330
lvl1,GREEDY_LOCAL,ManhattanDistance1- DeadlockCorner,7,0.027535200119018555,2392,133,SUCCESS,330
lvl1,GREEDY_LOCAL,ManhattanDistance1- DeadlockCorner,8,0.05964088439941406,2392,133,SUCCESS,330
lvl1,GREEDY_LOCAL,ManhattanDistance1- DeadlockCorner,9,0.027939558029174805,2392,133,SUCCESS,330
lvl1,GREEDY_LOCAL,ManhattanDistance1- DeadlockCorner,10,0.028031587600708008,2392,133,SUCCESS,330
