map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl6,BFS,,1,1.9973804950714111,115792,20184,SUCCESS,27
lvl6,BFS,,2,2.0974678993225098,115792,20184,SUCCESS,27
lvl6,BFS,,3,2.124505043029785,115792,20184,SUCCESS,27
lvl6,BFS,,4,2.3195221424102783,115792,20184,SUCCESS,27
lvl6,BFS,,5,2.22602915763855,115792,20184,SUCCESS,27
lvl6,BFS,,6,2.106158494949341,115792,20184,SUCCESS,27
lvl6,BFS,,7,2.1710705757141113,115792,20184,SUCCESS,27
lvl6,BFS,,8,2.272007703781128,115792,20184,SUCCESS,27
lvl6,BFS,,9,1.9329609870910645,115792,20184,SUCCESS,27
lvl6,BFS,,10,2.280322313308716,115792,20184,SUCCESS,27
lvl6,A_STAR,M1,1,0.2476205825805664,13635,5635,SUCCESS,27
lvl6,A_STAR,M1,2,0.3054962158203125,13635,5635,SUCCESS,27
lvl6,A_STAR,M1,3,0.34557342529296875,13635,5635,SUCCESS,27
lvl6,A_STAR,M1,4,0.3013448715209961,13635,5635,SUCCESS,27
lvl6,A_STAR,M1,5,0.32213735580444336,13635,5635,SUCCESS,27
lvl6,A_STAR,M1,6,0.2821037769317627,13635,5635,SUCCESS,27
lvl6,A_STAR,M1,7,0.3326718807220459,13635,5635,SUCCESS,27
lvl6,A_STAR,M1,8,0.28572726249694824,13635,5635,SUCCESS,27
lvl6,A_STAR,M1,9,0.3305239677429199,13635,5635,SUCCESS,27
lvl6,A_STAR,M1,10,0.278789758682251,13635,5635,SUCCESS,27
