map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl4,BFS,,1,5.203063011169434,274152,375,SUCCESS,127
lvl4,BFS,,2,4.9880688190460205,274152,375,SUCCESS,127
lvl4,BFS,,3,5.150538682937622,274152,375,SUCCESS,127
lvl4,BFS,,4,4.974384784698486,274152,375,SUCCESS,127
lvl4,BFS,,5,5.440413236618042,274152,375,SUCCESS,127
lvl4,BFS,,6,4.952064275741577,274152,375,SUCCESS,127
lvl4,BFS,,7,5.198323488235474,274152,375,SUCCESS,127
lvl4,BFS,,8,5.10917329788208,274152,375,SUCCESS,127
lvl4,BFS,,9,5.008735179901123,274152,375,SUCCESS,127
lvl4,BFS,,10,5.29587984085083,274152,375,SUCCESS,127
lvl4,A_STAR,ManhattanDistance1,1,8.346425771713257,272226,675,SUCCESS,127
lvl4,A_STAR,ManhattanDistance1,2,8.23278522491455,272226,675,SUCCESS,127
lvl4,A_STAR,ManhattanDistance1,3,8.416969537734985,272226,675,SUCCESS,127
lvl4,A_STAR,ManhattanDistance1,4,8.537631511688232,272226,675,SUCCESS,127
lvl4,A_STAR,ManhattanDistance1,5,8.665921688079834,272226,675,SUCCESS,127
lvl4,A_STAR,ManhattanDistance1,6,8.180161952972412,272226,675,SUCCESS,127
lvl4,A_STAR,ManhattanDistance1,7,8.546420335769653,272226,675,SUCCESS,127
lvl4,A_STAR,ManhattanDistance1,8,8.075354099273682,272226,675,SUCCESS,127
lvl4,A_STAR,ManhattanDistance1,9,8.08530569076538,272226,675,SUCCESS,127
lvl4,A_STAR,ManhattanDistance1,10,8.168719053268433,272226,675,SUCCESS,127
