map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl4,BFS,,1,4.5006725788116455,274152,375,SUCCESS,127
lvl4,BFS,,2,4.966924667358398,274152,375,SUCCESS,127
lvl4,BFS,,3,4.8800294399261475,274152,375,SUCCESS,127
lvl4,BFS,,4,4.722097635269165,274152,375,SUCCESS,127
lvl4,BFS,,5,4.677517652511597,274152,375,SUCCESS,127
lvl4,BFS,,6,4.635340213775635,274152,375,SUCCESS,127
lvl4,BFS,,7,4.570022821426392,274152,375,SUCCESS,127
lvl4,BFS,,8,4.482689619064331,274152,375,SUCCESS,127
lvl4,BFS,,9,4.785350322723389,274152,375,SUCCESS,127
lvl4,BFS,,10,4.421169757843018,274152,375,SUCCESS,127
lvl4,A_STAR,M1,1,7.327227830886841,272226,675,SUCCESS,127
lvl4,A_STAR,M1,2,6.969651460647583,272226,675,SUCCESS,127
lvl4,A_STAR,M1,3,7.31575608253479,272226,675,SUCCESS,127
lvl4,A_STAR,M1,4,7.003105878829956,272226,675,SUCCESS,127
lvl4,A_STAR,M1,5,6.979100465774536,272226,675,SUCCESS,127
lvl4,A_STAR,M1,6,7.137598752975464,272226,675,SUCCESS,127
lvl4,A_STAR,M1,7,6.920426845550537,272226,675,SUCCESS,127
lvl4,A_STAR,M1,8,7.106309175491333,272226,675,SUCCESS,127
lvl4,A_STAR,M1,9,6.856328248977661,272226,675,SUCCESS,127
lvl4,A_STAR,M1,10,7.059600591659546,272226,675,SUCCESS,127
