map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl1,BFS,,1,0.44061923027038574,32743,21,SUCCESS,78
lvl1,BFS,,2,0.40772366523742676,32743,21,SUCCESS,78
lvl1,BFS,,3,0.4772610664367676,32743,21,SUCCESS,78
lvl1,BFS,,4,0.41483569145202637,32743,21,SUCCESS,78
lvl1,BFS,,5,0.4716949462890625,32743,21,SUCCESS,78
lvl1,BFS,,6,0.4022376537322998,32743,21,SUCCESS,78
lvl1,BFS,,7,0.46923279762268066,32743,21,SUCCESS,78
lvl1,BFS,,8,0.4114553928375244,32743,21,SUCCESS,78
lvl1,BFS,,9,0.5093348026275635,32743,21,SUCCESS,78
lvl1,BFS,,10,0.4606442451477051,32743,21,SUCCESS,78
lvl1,DFS,,1,0.14579463005065918,12924,350,SUCCESS,956
lvl1,DFS,,2,0.16223382949829102,12924,350,SUCCESS,956
lvl1,DFS,,3,0.1590571403503418,12924,350,SUCCESS,956
lvl1,DFS,,4,0.16023612022399902,12924,350,SUCCESS,956
lvl1,DFS,,5,0.14905023574829102,12924,350,SUCCESS,956
lvl1,DFS,,6,0.14829349517822266,12924,350,SUCCESS,956
lvl1,DFS,,7,0.14475464820861816,12924,350,SUCCESS,956
lvl1,DFS,,8,0.142531156539917,12924,350,SUCCESS,956
lvl1,DFS,,9,0.144791841506958,12924,350,SUCCESS,956
lvl1,DFS,,10,0.15350627899169922,12924,350,SUCCESS,956
