map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl3,BFS,,1,0.0008940696716308594,83,28,SUCCESS,6
lvl3,BFS,,2,0.0007300376892089844,83,28,SUCCESS,6
lvl3,BFS,,3,0.0006840229034423828,83,28,SUCCESS,6
lvl3,BFS,,4,0.0006597042083740234,83,28,SUCCESS,6
lvl3,BFS,,5,0.0006537437438964844,83,28,SUCCESS,6
lvl3,BFS,,6,0.0006346702575683594,83,28,SUCCESS,6
lvl3,BFS,,7,0.0006449222564697266,83,28,SUCCESS,6
lvl3,BFS,,8,0.0006394386291503906,83,28,SUCCESS,6
lvl3,BFS,,9,0.0006964206695556641,83,28,SUCCESS,6
lvl3,BFS,,10,0.0007219314575195312,83,28,SUCCESS,6
lvl3,DFS,,1,0.6980655193328857,46860,2809,SUCCESS,2852
lvl3,DFS,,2,0.7929596900939941,46860,2809,SUCCESS,2852
lvl3,DFS,,3,0.7288854122161865,46860,2809,SUCCESS,2852
lvl3,DFS,,4,0.8203964233398438,46860,2809,SUCCESS,2852
lvl3,DFS,,5,0.7399730682373047,46860,2809,SUCCESS,2852
lvl3,DFS,,6,0.8157315254211426,46860,2809,SUCCESS,2852
lvl3,DFS,,7,0.7877516746520996,46860,2809,SUCCESS,2852
lvl3,DFS,,8,0.8699510097503662,46860,2809,SUCCESS,2852
lvl3,DFS,,9,0.7416079044342041,46860,2809,SUCCESS,2852
lvl3,DFS,,10,0.8445537090301514,46860,2809,SUCCESS,2852
