map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl6,DFS,,1,4.602644920349121,288445,4725,SUCCESS,6553
lvl6,DFS,,2,4.647660970687866,288445,4725,SUCCESS,6553
lvl6,DFS,,3,4.579989194869995,288445,4725,SUCCESS,6553
lvl6,DFS,,4,5.048652410507202,288445,4725,SUCCESS,6553
lvl6,DFS,,5,4.686765432357788,288445,4725,SUCCESS,6553
lvl6,DFS,,6,4.441397666931152,288445,4725,SUCCESS,6553
lvl6,DFS,,7,4.786076545715332,288445,4725,SUCCESS,6553
lvl6,DFS,,8,4.8208818435668945,288445,4725,SUCCESS,6553
lvl6,DFS,,9,4.420905113220215,288445,4725,SUCCESS,6553
lvl6,DFS,,10,4.980454921722412,288445,4725,SUCCESS,6553
lvl6,GREEDY_LOCAL,ManhattanDistance1,1,0.00856471061706543,510,266,SUCCESS,357
lvl6,GREEDY_LOCAL,ManhattanDistance1,2,0.006688356399536133,510,266,SUCCESS,357
lvl6,GREEDY_LOCAL,ManhattanDistance1,3,0.006554841995239258,510,266,SUCCESS,357
lvl6,GREEDY_LOCAL,ManhattanDistance1,4,0.006883144378662109,510,266,SUCCESS,357
lvl6,GREEDY_LOCAL,ManhattanDistance1,5,0.006256818771362305,510,266,SUCCESS,357
lvl6,GREEDY_LOCAL,ManhattanDistance1,6,0.006534576416015625,510,266,SUCCESS,357
lvl6,GREEDY_LOCAL,ManhattanDistance1,7,0.006410121917724609,510,266,SUCCESS,357
lvl6,GREEDY_LOCAL,ManhattanDistance1,8,0.0064694881439208984,510,266,SUCCESS,357
lvl6,GREEDY_LOCAL,ManhattanDistance1,9,0.0063779354095458984,510,266,SUCCESS,357
lvl6,GREEDY_LOCAL,ManhattanDistance1,10,0.00644993782043457,510,266,SUCCESS,357
