map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl0,DFS,,1,0.0021529197692871094,292,8,SUCCESS,94
lvl0,DFS,,2,0.0015239715576171875,292,8,SUCCESS,94
lvl0,DFS,,3,0.0014386177062988281,292,8,SUCCESS,94
lvl0,DFS,,4,0.0014679431915283203,292,8,SUCCESS,94
lvl0,DFS,,5,0.0014774799346923828,292,8,SUCCESS,94
lvl0,DFS,,6,0.0015912055969238281,292,8,SUCCESS,94
lvl0,DFS,,7,0.0014524459838867188,292,8,SUCCESS,94
lvl0,DFS,,8,0.0014147758483886719,292,8,SUCCESS,94
lvl0,DFS,,9,0.0014100074768066406,292,8,SUCCESS,94
lvl0,DFS,,10,0.0016636848449707031,292,8,SUCCESS,94
lvl0,GREEDY_LOCAL,M1,1,0.002605438232421875,292,8,SUCCESS,94
lvl0,GREEDY_LOCAL,M1,2,0.0027146339416503906,292,8,SUCCESS,94
lvl0,GREEDY_LOCAL,M1,3,0.002550363540649414,292,8,SUCCESS,94
lvl0,GREEDY_LOCAL,M1,4,0.0026323795318603516,292,8,SUCCESS,94
lvl0,GREEDY_LOCAL,M1,5,0.0024061203002929688,292,8,SUCCESS,94
lvl0,GREEDY_LOCAL,M1,6,0.002483844757080078,292,8,SUCCESS,94
lvl0,GREEDY_LOCAL,M1,7,0.0027594566345214844,292,8,SUCCESS,94
lvl0,GREEDY_LOCAL,M1,8,0.0024313926696777344,292,8,SUCCESS,94
lvl0,GREEDY_LOCAL,M1,9,0.002676248550415039,292,8,SUCCESS,94
lvl0,GREEDY_LOCAL,M1,10,0.002572774887084961,292,8,SUCCESS,94
