map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl1,A_STAR,Deadlock- ManhattanDistance1- BasicHeuristic,1,0.3245353698730469,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1- BasicHeuristic,2,0.3007326126098633,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1- BasicHeuristic,3,0.28996872901916504,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1- BasicHeuristic,4,0.2877514362335205,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1- BasicHeuristic,5,0.3410162925720215,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1- BasicHeuristic,6,0.2974700927734375,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1- BasicHeuristic,7,0.29752588272094727,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1- BasicHeuristic,8,0.2832071781158447,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1- BasicHeuristic,9,0.3404419422149658,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1- BasicHeuristic,10,0.29490160942077637,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock,1,0.2424771785736084,16718,260,SUCCESS,78
lvl1,A_STAR,Deadlock,2,0.2966165542602539,16718,260,SUCCESS,78
lvl1,A_STAR,Deadlock,3,0.2547028064727783,16718,260,SUCCESS,78
lvl1,A_STAR,Deadlock,4,0.24883413314819336,16718,260,SUCCESS,78
lvl1,A_STAR,Deadlock,5,0.2472209930419922,16718,260,SUCCESS,78
lvl1,A_STAR,Deadlock,6,0.3024168014526367,16718,260,SUCCESS,78
lvl1,A_STAR,Deadlock,7,0.26072120666503906,16718,260,SUCCESS,78
lvl1,A_STAR,Deadlock,8,0.2598433494567871,16718,260,SUCCESS,78
lvl1,A_STAR,Deadlock,9,0.2346038818359375,16718,260,SUCCESS,78
lvl1,A_STAR,Deadlock,10,0.28588294982910156,16718,260,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1,1,0.5927865505218506,32644,38,SUCCESS,78
lvl1,A_STAR,ManhattanDistance1,2,0.6699376106262207,32644,38,SUCCESS,78
