map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
smart,GREEDY_LOCAL,ManhattanDistance1,1,0.0023424625396728516,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,2,0.00023126602172851562,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,3,0.0003323554992675781,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,4,0.0003006458282470703,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,5,0.000308990478515625,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,6,0.00048470497131347656,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,7,0.0003821849822998047,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,8,0.0004813671112060547,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,9,0.00049591064453125,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,10,0.0004837512969970703,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,11,0.0004961490631103516,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,12,0.00024509429931640625,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,13,0.00018858909606933594,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,14,0.0002014636993408203,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,15,0.00024199485778808594,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,16,0.00022339820861816406,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,17,0.0002391338348388672,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,18,0.0004458427429199219,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,19,0.00046372413635253906,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,20,0.0004200935363769531,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,21,0.0003542900085449219,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,22,0.0002765655517578125,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,23,0.00019097328186035156,14,6,SUCCESS,11
smart,GREEDY_LOCAL,ManhattanDistance1,24,0.000186920166015625,14,6,SUCCESS,11
