strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age,generation
50,20,44,20,20,1.99,warrior,21.47531333307651,0,0
50,20,59,20,20,1.74,warrior,20.340326570893996,0,0
50,20,58,20,20,1.42,warrior,20.69188884648446,0,0
50,20,58,20,20,1.78,warrior,20.982931878994933,0,0
50,20,66,20,20,1.35,warrior,19.04916652101798,0,0
50,20,54,20,20,1.39,warrior,20.28346620126488,0,0
50,20,60,20,20,1.34,warrior,18.585538455753895,0,0
50,20,61,20,20,1.45,warrior,20.786867802585544,0,0
50,20,59,20,20,1.8,warrior,21.338598503787143,0,0
50,20,56,20,20,1.55,warrior,20.05720197318945,0,0
50,20,58,20,20,1.93,warrior,22.73212687357804,0,0
50,20,55,20,20,1.66,warrior,19.61776675877748,0,0
50,20,56,20,20,1.74,warrior,20.340326570893996,0,0
50,20,59,20,20,1.79,warrior,21.159416110973755,0,0
50,20,56,20,20,1.94,warrior,22.653500530080816,0,0
50,20,47,20,20,1.49,warrior,20.601300201106703,0,0
50,20,66,20,20,1.96,warrior,22.353421450906204,0,0
50,20,65,20,20,1.61,warrior,19.640246792905216,0,0
50,20,60,20,20,1.87,warrior,22.470985799819516,0,0
50,20,52,20,20,1.83,warrior,21.87046997868222,0,0
65,25,23,29,26,1.94,warrior,22.164174644084305,1,1
50,20,59,19,20,1.93,warrior,22.73212687357804,1,1
37,16,86,14,15,1.96,warrior,20.432793509743792,1,1
45,20,54,18,31,1.87,warrior,21.98668580186486,1,1
52,21,54,20,21,1.8,warrior,21.41498500913233,1,1
31,26,58,27,26,1.83,warrior,18.510886241900245,1,1
4,27,82,27,28,1.79,warrior,7.025258415792166,1,1
50,20,59,20,19,1.36,warrior,19.44574445443403,1,1
50,20,58,20,20,1.84,warrior,22.03776042121065,1,1
51,19,59,20,19,1.78,warrior,21.023217016293927,1,1
34,67,40,13,14,1.49,warrior,18.451924245267037,1,1
33,75,32,14,14,1.42,warrior,18.281760787376186,1,1
81,16,41,15,15,1.74,warrior,16.442610124809356,1,1
51,20,58,20,19,1.99,warrior,21.52115286133731,1,1
27,89,30,11,11,1.55,warrior,16.33358567586777,1,1
54,19,57,19,19,1.39,warrior,20.345539452234444,1,1
49,17,63,19,20,1.66,warrior,19.58216913733863,1,1
41,47,47,17,16,1.61,warrior,18.92990627982115,1,1
39,15,53,45,16,1.34,warrior,17.79175521631898,1,1
47,19,62,20,20,1.35,warrior,18.932427433044484,1,1
49,19,56,19,25,1.94,warrior,22.580968323469374,1,2
41,15,13,87,12,1.93,warrior,21.5846460546178,1,2
38,17,77,13,23,1.87,warrior,20.752418287394768,1,2
42,22,60,22,22,1.84,warrior,21.15651862090606,1,2
31,24,68,22,23,1.8,warrior,18.181708032893432,1,2
52,22,54,20,20,1.99,warrior,21.554663367447734,1,2
51,19,59,20,19,1.96,warrior,22.409166623972922,1,2
71,11,64,10,12,1.78,warrior,19.41760054996466,1,2
54,19,57,18,20,1.66,warrior,19.65332996984217,1,2
51,16,62,20,19,1.39,warrior,20.315860899542933,1,2
50,20,59,20,19,1.35,warrior,19.04916652101798,1,2
51,18,60,20,19,1.36,warrior,19.46868909308752,1,2
38,42,51,26,11,1.83,warrior,20.2746097907488,1,2
26,19,35,12,76,1.61,warrior,15.849457908026807,1,2
28,51,29,50,10,1.42,warrior,16.949463095548712,1,2
33,75,32,13,15,1.49,warrior,18.220741056034985,1,2
52,22,54,20,20,1.74,warrior,20.395073815418826,1,2
35,7,23,20,83,1.34,warrior,17.210652649525862,1,2
26,24,75,18,25,1.79,warrior,16.560600188276812,1,2
5,104,35,12,12,1.55,warrior,7.935874293642886,1,2
41,15,81,15,16,1.96,warrior,21.25948326619577,1,3
60,23,31,23,31,1.94,warrior,22.649295748738716,1,3
30,17,40,16,65,1.99,warrior,17.97737604522232,1,3
48,15,12,81,12,1.42,warrior,20.582871381567738,1,3
44,24,63,13,24,1.38,warrior,19.64526644567296,1,3
19,8,40,90,11,1.84,warrior,14.200182315619525,1,3
46,19,49,18,36,1.39,warrior,20.040688347459785,1,3
50,16,58,25,19,1.74,warrior,20.340326570893996,1,3
37,42,52,18,19,1.66,warrior,18.318270814910516,1,3
54,19,58,26,11,1.83,warrior,21.99574222124374,1,3
34,80,39,7,8,1.78,warrior,18.718949426458405,1,3
65,9,58,19,17,1.36,warrior,18.706746820004827,1,3
84,14,43,16,11,1.49,warrior,15.832809207504443,1,3
25,52,22,55,14,1.35,warrior,15.306740679308277,1,3
25,20,18,36,69,1.34,warrior,15.104776357365616,1,3
38,8,74,23,25,1.8,warrior,19.851419092213675,1,3
25,23,81,16,23,1.79,warrior,16.22600152544027,1,3
27,51,29,50,11,1.42,warrior,16.650829310003683,1,3
