strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age,generation
50,20,57,20,20,1.4,warrior,20.461312419888948,0,0
50,20,58,20,20,1.8,warrior,21.338598503787143,0,0
50,20,63,20,20,1.6,warrior,19.685251653363622,0,0
50,20,57,20,20,1.91,warrior,22.76855449112329,0,0
50,20,66,20,20,1.6,warrior,19.685251653363622,0,0
50,20,64,20,20,1.32,warrior,17.435868539514285,0,0
50,20,57,20,20,1.83,warrior,21.87046997868222,0,0
50,20,57,20,20,1.83,warrior,21.87046997868222,0,0
50,20,61,20,20,1.98,warrior,21.831658926685,0,0
50,20,64,20,20,1.38,warrior,20.05802940580454,0,0
50,20,57,20,20,1.87,warrior,22.470985799819516,0,0
50,20,50,20,20,1.69,warrior,19.782056714190116,0,0
50,20,55,20,20,1.39,warrior,20.28346620126488,0,0
50,20,61,20,20,1.41,warrior,20.59602298789433,0,0
50,20,64,20,20,1.81,warrior,21.518374583086924,0,0
50,20,57,20,20,1.58,warrior,19.808664210633726,0,0
50,20,45,20,20,1.4,warrior,20.461312419888948,0,0
50,20,55,20,20,1.35,warrior,19.04916652101798,0,0
50,20,53,20,20,1.38,warrior,20.05802940580454,0,0
50,20,63,20,20,1.91,warrior,22.76855449112329,0,0
30,11,37,78,11,1.91,warrior,18.740825326050313,1,1
52,20,58,21,16,1.91,warrior,22.875937751512893,1,1
56,21,62,7,21,1.83,warrior,21.982922033432207,1,1
28,84,31,11,13,1.87,warrior,17.8938025008301,1,1
50,20,57,20,20,1.95,warrior,22.528786805710325,1,1
49,23,58,19,18,1.83,warrior,21.807464598456793,1,1
39,15,52,15,46,1.8,warrior,20.042425411394625,1,1
37,15,43,57,15,1.81,warrior,19.787344521487412,1,1
48,20,59,20,20,1.94,warrior,22.495011261458888,1,1
48,20,52,29,18,1.41,warrior,20.48942325783199,1,1
54,21,49,21,22,1.83,warrior,21.99574222124374,1,1
99,11,32,12,13,1.4,warrior,10.540783648769839,1,1
47,20,62,19,19,1.59,warrior,19.59792031767816,1,1
60,23,33,26,25,1.38,warrior,19.863514068775125,1,1
33,12,36,73,13,1.69,warrior,17.668905698897056,1,1
32,13,37,71,14,1.58,warrior,17.465966642964986,1,1
36,17,86,14,14,1.6,warrior,18.194408642787426,1,1
43,20,64,20,20,1.6,warrior,19.203397396514266,1,1
47,18,61,19,22,1.54,warrior,19.990588874742773,1,1
50,21,57,20,19,1.35,warrior,19.04916652101798,1,1
55,5,63,23,21,1.95,warrior,22.685214096016544,1,2
74,33,7,29,24,1.91,warrior,20.656736714034174,1,2
29,13,32,13,80,1.83,warrior,17.898665933656428,1,2
34,70,37,13,13,1.94,warrior,19.887835351277968,1,2
98,11,37,11,10,1.83,warrior,11.854283827815594,1,2
51,24,61,9,22,1.37,warrior,19.807102708131158,1,2
30,13,31,17,76,1.8,warrior,17.896668098796354,1,2
46,20,61,19,21,1.41,warrior,20.336370911527336,1,2
25,10,32,86,14,1.38,warrior,15.746218622350783,1,2
101,14,21,17,14,1.54,warrior,9.578544542785064,1,2
91,14,38,12,12,1.59,warrior,12.882961050258293,1,2
30,62,27,37,11,1.81,warrior,18.002796733504198,1,2
44,20,64,20,19,1.41,warrior,20.13683149785559,1,2
34,16,39,13,65,1.6,warrior,17.81097108646552,1,2
16,80,21,43,7,1.6,warrior,12.595785338117508,1,2
25,13,111,9,9,1.91,warrior,16.92696975020402,1,2
68,10,26,53,10,1.69,warrior,18.651682518076573,1,2
24,107,21,7,8,1.87,warrior,16.408596116687022,1,2
32,13,37,71,14,1.62,warrior,17.336062442382413,1,2
99,11,32,12,13,1.47,warrior,10.710670870952342,1,2
36,60,38,18,15,1.91,warrior,20.504971248136954,1,3
49,22,6,15,75,1.95,warrior,22.45777194219349,1,3
93,13,39,11,11,1.41,warrior,12.865356104457224,1,3
44,19,61,21,22,1.41,warrior,20.13683149785559,1,3
21,101,23,9,13,1.37,warrior,14.372455237861557,1,3
56,26,66,12,7,1.94,warrior,22.80859569476014,1,3
55,8,51,43,10,1.81,warrior,21.626728399637656,1,3
38,34,34,49,12,1.69,warrior,18.6129356646739,1,3
16,7,92,9,43,1.8,warrior,12.778754790172858,1,3
19,67,20,8,53,1.83,warrior,14.162505611904823,1,3
31,71,38,14,13,1.62,warrior,17.110494351844377,1,3
24,10,28,56,49,1.38,warrior,15.437701261273856,1,3
31,15,106,7,8,1.87,warrior,18.88254881794125,1,3
5,121,22,9,10,1.91,warrior,6.972451467985696,1,3
49,8,64,23,23,1.59,warrior,19.704676061718356,1,3
71,10,29,45,12,1.38,warrior,18.440468292603384,1,3
17,86,41,12,11,1.37,warrior,12.976519023893202,1,3
51,17,28,63,8,1.6,warrior,19.710898092846517,1,3
20,23,68,26,30,1.54,warrior,14.133500259028533,1,3
68,8,13,10,68,1.47,warrior,19.663703599432115,1,3
25,12,31,66,33,1.95,warrior,16.822522841925057,1,4
89,40,10,13,15,1.94,warrior,15.973074695795887,1,4
40,5,81,34,7,1.91,warrior,21.42036928912301,1,4
36,60,38,18,15,1.81,warrior,19.56811259445796,1,4
46,20,28,65,8,1.41,warrior,20.336370911527336,1,4
34,11,41,67,14,1.41,warrior,18.44823181380533,1,4
57,9,14,11,76,1.82,warrior,21.773331067627225,1,4
48,7,46,17,49,1.59,warrior,19.65672673004879,1,4
18,8,60,27,54,1.69,warrior,13.338709971194561,1,4
37,80,33,7,10,1.87,warrior,20.52366480450032,1,4
38,7,15,25,82,1.62,warrior,18.47426940988415,1,4
28,79,35,13,12,1.38,warrior,16.613012377603525,1,4
55,12,28,59,13,1.37,warrior,19.806046641730564,1,4
17,83,20,7,40,1.35,warrior,12.867197181784826,1,4
19,70,22,26,30,1.42,warrior,13.897068737864586,1,4
80,12,38,6,31,1.83,warrior,18.200775493184334,1,4
9,46,22,83,7,1.41,warrior,9.6506586136351,1,4
93,12,40,11,11,1.49,warrior,12.869389381691562,1,4
9,70,12,5,71,1.91,warrior,9.2634241687926,1,4
4,22,89,8,44,1.8,warrior,6.953441941266044,1,4
70,11,65,13,8,1.91,warrior,21.497379010741255,1,5
28,5,57,24,53,1.82,warrior,17.482694929253164,1,5
33,88,29,7,10,1.41,warrior,18.217186370664578,1,5
46,20,28,65,8,1.81,warrior,21.208926863933087,1,5
49,12,47,14,45,1.59,warrior,19.704676061718356,1,5
89,5,22,42,9,1.37,warrior,13.56327810599989,1,5
27,45,28,14,53,1.62,warrior,16.108944956654412,1,5
28,6,11,19,103,1.81,warrior,17.388159282124512,1,5
51,19,39,10,48,1.83,warrior,21.92076713726734,1,5
77,10,2,64,14,1.41,warrior,17.72266148379345,1,5
27,25,64,26,25,1.38,warrior,16.333999262064143,1,5
76,33,17,28,13,1.95,warrior,19.926829948490234,1,5
45,21,7,79,15,1.42,warrior,20.3315938934468,1,5
20,77,24,29,17,1.73,warrior,14.147312342836102,1,5
85,13,44,13,12,1.49,warrior,15.530742774479535,1,5
74,4,38,16,35,1.69,warrior,17.564491497602532,1,5
21,62,16,63,5,1.41,warrior,14.615685842756204,1,5
12,83,22,7,43,1.35,warrior,11.082809607565178,1,5
5,42,75,3,42,1.8,warrior,7.480556640135954,1,5
6,31,57,11,62,1.91,warrior,7.5570785352508025,1,5
33,6,44,8,76,1.91,warrior,19.68058488053864,1,6
63,17,36,8,43,1.46,warrior,20.360941312294337,1,6
90,12,18,41,6,1.42,warrior,13.98976875877591,1,6
28,76,5,49,9,1.81,warrior,17.388159282124512,1,6
47,36,18,15,51,1.59,warrior,19.59792031767816,1,6
29,84,29,16,9,1.95,warrior,18.267958847803147,1,6
21,51,84,4,7,1.41,warrior,14.615685842756204,1,6
77,9,1,69,11,1.41,warrior,17.72266148379345,1,6
59,3,45,19,41,1.88,warrior,22.632224449034368,1,6
25,5,35,13,89,1.69,warrior,15.626000193587524,1,6
48,12,19,45,43,1.33,warrior,18.007206777310852,1,6
56,14,33,10,54,1.81,warrior,21.6116518525962,1,6
24,43,25,13,62,1.49,warrior,15.656295688244597,1,6
52,8,27,47,33,1.62,warrior,19.646647214540913,1,6
17,49,13,25,63,1.73,warrior,13.039727152063325,1,6
10,40,83,32,2,1.41,warrior,10.109389279194092,1,6
90,5,22,7,43,1.86,warrior,15.343512212439943,1,6
11,83,22,43,8,1.99,warrior,10.47897356468102,1,6
6,31,57,11,62,1.67,warrior,8.522529139250992,1,6
72,24,45,2,24,1.91,warrior,21.0993950872436,1,6
39,8,21,65,34,1.81,warrior,20.189395203701416,1,7
57,4,46,19,41,1.42,warrior,20.707997039496192,1,7
48,59,31,1,28,1.46,warrior,20.656073158722783,1,7
70,18,44,9,26,1.91,warrior,21.497379010741255,1,7
24,4,83,32,24,1.62,warrior,15.256535279473376,1,7
35,4,20,5,103,1.91,warrior,20.24316478586844,1,7
11,72,35,32,17,1.95,warrior,10.38120153371089,1,7
24,67,23,13,40,1.77,warrior,15.740706762528646,1,7
56,15,2,81,13,1.39,warrior,20.30949151772502,1,7
41,67,11,25,23,1.33,warrior,17.564137899975563,1,7
15,34,70,21,27,1.49,warrior,12.286383026293548,1,7
90,36,21,13,7,1.81,warrior,14.668214768547895,1,7
85,6,23,8,45,1.86,warrior,17.104756867029735,1,7
41,1,79,6,40,1.69,warrior,19.051666642019246,1,7
15,32,57,60,3,1.42,warrior,12.292831803844859,1,7
116,16,24,2,9,1.41,warrior,3.5645792669068315,1,7
18,52,14,73,10,1.99,warrior,13.656526095055359,1,7
7,97,11,21,31,1.73,warrior,8.815807281881407,1,7
5,90,32,6,34,1.67,warrior,8.077930434151067,1,7
7,33,90,34,3,1.91,warrior,8.133946679839502,1,7
35,10,21,82,19,1.42,warrior,18.737668819024314,1,8
95,3,35,14,20,1.91,warrior,13.712903545959898,1,8
31,38,88,2,8,1.39,warrior,17.528680792284156,1,8
49,13,4,76,25,1.46,warrior,20.717404830731333,1,8
51,28,30,8,50,1.81,warrior,21.564699870947074,1,8
28,7,14,45,73,1.41,warrior,16.898577781109783,1,8
28,57,53,3,26,1.33,warrior,15.546936238535991,1,8
29,95,8,19,16,1.69,warrior,16.72713850381902,1,8
45,3,12,85,22,1.77,warrior,20.44248314868848,1,8
46,58,19,7,37,1.86,warrior,21.987164014153528,1,8
39,61,34,22,11,1.91,warrior,21.211437080161744,1,8
52,3,68,25,19,1.62,warrior,19.646647214540913,1,8
