strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age,generation
50,20,65,20,20,1.84,warrior,22.03776042121065,0,0
50,20,65,20,20,1.94,warrior,22.653500530080816,0,0
50,20,60,20,20,1.58,warrior,19.808664210633726,0,0
50,20,59,20,20,1.56,warrior,19.967959118406164,0,0
50,20,63,20,20,1.67,warrior,19.657414606731656,0,0
50,20,68,20,20,1.52,warrior,20.340846194189844,0,0
50,20,57,20,20,1.96,warrior,22.353421450906204,0,0
50,20,62,20,20,1.33,warrior,18.049585407353476,0,0
50,20,53,20,20,1.68,warrior,19.712223476595355,0,0
50,20,60,20,20,1.78,warrior,20.982931878994933,0,0
50,20,58,20,20,1.57,warrior,19.88455747056188,0,0
50,20,54,20,20,1.69,warrior,19.782056714190116,0,0
50,20,53,20,20,1.53,warrior,20.245722654593784,0,0
50,20,60,20,20,1.37,warrior,19.78038312227622,0,0
50,20,62,20,20,1.37,warrior,19.78038312227622,0,0
50,20,58,20,20,1.39,warrior,20.28346620126488,0,0
50,20,69,20,20,1.72,warrior,20.07787631636412,0,0
50,20,64,20,20,1.52,warrior,20.340846194189844,0,0
50,20,61,20,20,1.9,warrior,22.734664339221286,0,0
50,20,54,20,20,1.68,warrior,19.712223476595355,0,0
49,18,62,24,18,1.94,warrior,22.580968323469374,1,1
38,56,46,15,16,1.9,warrior,20.962217666653018,1,1
32,13,99,14,13,1.84,warrior,18.907432842368124,1,1
33,12,100,13,13,1.96,warrior,19.400954839938414,1,1
34,14,45,14,64,1.52,warrior,18.269686285426186,1,1
43,17,76,17,18,1.78,warrior,20.36640330155263,1,1
34,14,43,67,13,1.39,warrior,18.22953788083794,1,1
37,16,45,57,16,1.52,warrior,18.87717464175166,1,1
27,11,30,91,12,1.72,warrior,16.343919596479765,1,1
43,17,76,18,17,1.53,warrior,19.705702256493414,1,1
32,13,38,13,75,1.57,warrior,17.515043739067824,1,1
51,21,58,21,20,1.94,warrior,22.712630795155736,1,1
35,14,44,14,64,1.69,warrior,18.078078475624306,1,1
59,21,52,20,19,1.58,warrior,19.664807654948255,1,1
32,12,37,77,13,1.37,warrior,17.447678409035806,1,1
93,13,41,12,12,1.37,warrior,12.24197752015031,1,1
53,20,55,22,21,1.97,warrior,22.24343522936831,1,1
53,20,58,19,21,1.68,warrior,19.757800462853563,1,1
46,21,63,21,20,1.33,warrior,17.92740964349086,1,1
32,12,40,75,12,1.67,warrior,17.368159652551807,1,1
51,21,59,21,19,1.94,warrior,22.712630795155736,1,2
