strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
35,30,49,43,41,1.35,warrior,27.402046234525244,0
30,40,52,38,38,1.35,warrior,26.368270435020726,0
43,35,35,46,39,1.35,warrior,28.142227647951437,0
46,41,42,31,38,1.35,warrior,30.089011015423143,0
46,33,51,31,37,1.35,warrior,29.772031865830026,0
45,42,37,42,32,1.35,warrior,28.81245902223288,0
45,35,33,35,50,1.35,warrior,28.925871042544532,0
27,43,40,42,46,1.35,warrior,25.949785074993358,0
38,42,43,38,37,1.35,warrior,28.207027207339674,0
43,35,38,39,43,1.35,warrior,28.828488114105184,0
32,44,35,47,40,1.35,warrior,26.46786776535082,0
42,42,41,32,41,1.35,warrior,29.379869192815313,0
49,38,45,33,33,1.35,warrior,30.207308634140148,0
43,42,38,33,42,1.35,warrior,29.406122818048384,0
36,37,39,45,41,1.35,warrior,27.48194033690633,0
44,43,40,37,34,1.35,warrior,29.280917894281252,0
34,42,39,42,41,1.35,warrior,27.292299930549888,0
34,39,42,50,33,1.35,warrior,26.162562434594683,0
51,22,42,39,44,1.35,warrior,28.66721163975568,0
45,35,28,41,49,1.35,warrior,28.400372153356464,0
49,38,45,33,33,1.35,warrior,30.207308634140148,1
46,41,42,31,38,1.35,warrior,30.089011015423143,1
46,33,51,31,37,1.35,warrior,29.772031865830026,1
43,42,38,33,42,1.35,warrior,29.406122818048384,1
42,42,41,32,41,1.35,warrior,29.379869192815313,1
44,43,40,37,34,1.35,warrior,29.280917894281252,1
45,35,33,35,50,1.35,warrior,28.925871042544532,1
43,35,38,39,43,1.35,warrior,28.828488114105184,1
45,42,37,42,32,1.35,warrior,28.81245902223288,1
51,22,42,39,44,1.35,warrior,28.66721163975568,1
45,35,28,41,49,1.35,warrior,28.400372153356464,1
38,42,43,38,37,1.35,warrior,28.207027207339674,1
43,35,35,46,39,1.35,warrior,28.142227647951437,1
36,37,39,45,41,1.35,warrior,27.48194033690633,1
35,30,49,43,41,1.35,warrior,27.402046234525244,1
34,42,39,42,41,1.35,warrior,27.292299930549888,1
49,38,45,33,33,1.35,warrior,30.207308634140148,1
46,41,42,31,38,1.35,warrior,30.089011015423143,1
46,33,51,31,37,1.35,warrior,29.772031865830026,1
44,45,38,33,38,1.35,warrior,29.66851035016211,1
