strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
49,39,36,32,42,1.35,warrior,30.058612514820517,0
41,36,33,50,38,1.35,warrior,27.51196603640244,0
32,44,40,37,45,1.35,warrior,27.197441477326677,0
39,35,39,36,49,1.35,warrior,28.50284629764373,0
41,37,34,32,54,1.35,warrior,28.54792953635267,0
33,47,44,38,36,1.35,warrior,27.00241440682055,0
46,43,40,38,31,1.35,warrior,29.420795907149298,0
41,47,37,39,34,1.35,warrior,28.611374200160164,0
40,46,37,41,34,1.35,warrior,28.234770797326423,0
33,36,43,43,43,1.35,warrior,27.20881130608553,0
34,38,41,45,40,1.35,warrior,27.098872604980432,0
37,47,44,30,40,1.35,warrior,28.555120526695326,0
36,44,45,38,35,1.35,warrior,27.6933141950011,0
48,43,34,37,36,1.35,warrior,29.753704697334754,0
41,37,45,42,33,1.35,warrior,28.118334061394602,0
28,58,38,40,34,1.35,warrior,24.992551485821366,0
38,47,38,40,35,1.35,warrior,27.971845334089267,0
39,43,40,35,41,1.35,warrior,28.669457497327866,0
45,39,40,40,34,1.35,warrior,29.0118797467683,0
32,45,39,44,38,1.35,warrior,26.54382070223463,0
49,39,36,32,42,1.35,warrior,30.058612514820517,1
48,43,34,37,36,1.35,warrior,29.753704697334754,1
46,43,40,38,31,1.35,warrior,29.420795907149298,1
45,39,40,40,34,1.35,warrior,29.0118797467683,1
39,43,40,35,41,1.35,warrior,28.669457497327866,1
41,47,37,39,34,1.35,warrior,28.611374200160164,1
37,47,44,30,40,1.35,warrior,28.555120526695326,1
41,37,34,32,54,1.35,warrior,28.54792953635267,1
39,35,39,36,49,1.35,warrior,28.50284629764373,1
40,46,37,41,34,1.35,warrior,28.234770797326423,1
41,37,45,42,33,1.35,warrior,28.118334061394602,1
38,47,38,40,35,1.35,warrior,27.971845334089267,1
36,44,45,38,35,1.35,warrior,27.6933141950011,1
41,36,33,50,38,1.35,warrior,27.51196603640244,1
33,36,43,43,43,1.35,warrior,27.20881130608553,1
32,44,40,37,45,1.35,warrior,27.197441477326677,1
50,40,38,33,37,1.35,warrior,30.31736819630914,1
46,41,36,35,40,1.35,warrior,29.629462937040987,1
44,42,39,40,33,1.35,warrior,28.9263367416973,1
46,40,41,38,33,1.35,warrior,29.36968264344013,1
50,40,38,33,37,1.35,warrior,30.31736819630914,2
49,39,36,32,42,1.35,warrior,30.058612514820517,2
48,43,34,37,36,1.35,warrior,29.753704697334754,2
46,41,36,35,40,1.35,warrior,29.629462937040987,2
46,43,40,38,31,1.35,warrior,29.420795907149298,2
46,40,41,38,33,1.35,warrior,29.36968264344013,2
45,39,40,40,34,1.35,warrior,29.0118797467683,2
44,42,39,40,33,1.35,warrior,28.9263367416973,2
39,43,40,35,41,1.35,warrior,28.669457497327866,2
41,47,37,39,34,1.35,warrior,28.611374200160164,2
37,47,44,30,40,1.35,warrior,28.555120526695326,2
41,37,34,32,54,1.35,warrior,28.54792953635267,2
39,35,39,36,49,1.35,warrior,28.50284629764373,2
40,46,37,41,34,1.35,warrior,28.234770797326423,2
41,37,45,42,33,1.35,warrior,28.118334061394602,2
38,47,38,40,35,1.35,warrior,27.971845334089267,2
51,39,35,31,42,1.35,warrior,30.276982265753904,1
50,40,38,33,37,1.35,warrior,30.31736819630914,1
47,42,35,34,40,1.35,warrior,29.833505943607918,1
47,42,35,37,37,1.35,warrior,29.61809890869236,1
50,40,38,33,37,1.35,warrior,30.31736819630914,3
50,40,38,33,37,1.35,warrior,30.31736819630914,2
51,39,35,31,42,1.35,warrior,30.276982265753904,2
49,39,36,32,42,1.35,warrior,30.058612514820517,3
47,42,35,34,40,1.35,warrior,29.833505943607918,2
48,43,34,37,36,1.35,warrior,29.753704697334754,3
46,41,36,35,40,1.35,warrior,29.629462937040987,3
47,42,35,37,37,1.35,warrior,29.61809890869236,2
46,43,40,38,31,1.35,warrior,29.420795907149298,3
46,40,41,38,33,1.35,warrior,29.36968264344013,3
45,39,40,40,34,1.35,warrior,29.0118797467683,3
44,42,39,40,33,1.35,warrior,28.9263367416973,3
39,43,40,35,41,1.35,warrior,28.669457497327866,3
41,47,37,39,34,1.35,warrior,28.611374200160164,3
37,47,44,30,40,1.35,warrior,28.555120526695326,3
41,37,34,32,54,1.35,warrior,28.54792953635267,3
50,40,38,33,37,1.35,warrior,30.31736819630914,1
50,40,38,33,37,1.35,warrior,30.31736819630914,1
51,41,34,31,41,1.35,warrior,30.38345025417312,1
44,41,37,32,44,1.35,warrior,29.51657887315607,1
51,41,34,31,41,1.35,warrior,30.38345025417312,2
50,40,38,33,37,1.35,warrior,30.31736819630914,4
50,40,38,33,37,1.35,warrior,30.31736819630914,3
50,40,38,33,37,1.35,warrior,30.31736819630914,2
50,40,38,33,37,1.35,warrior,30.31736819630914,2
51,39,35,31,42,1.35,warrior,30.276982265753904,3
49,39,36,32,42,1.35,warrior,30.058612514820517,4
47,42,35,34,40,1.35,warrior,29.833505943607918,3
48,43,34,37,36,1.35,warrior,29.753704697334754,4
46,41,36,35,40,1.35,warrior,29.629462937040987,4
47,42,35,37,37,1.35,warrior,29.61809890869236,3
44,41,37,32,44,1.35,warrior,29.51657887315607,2
46,43,40,38,31,1.35,warrior,29.420795907149298,4
46,40,41,38,33,1.35,warrior,29.36968264344013,4
45,39,40,40,34,1.35,warrior,29.0118797467683,4
44,42,39,40,33,1.35,warrior,28.9263367416973,4
51,40,38,32,37,1.35,warrior,30.51396930876227,1
50,41,34,32,41,1.35,warrior,30.210786626629893,1
50,40,38,33,37,1.35,warrior,30.31736819630914,1
50,40,38,33,37,1.35,warrior,30.31736819630914,1
51,40,38,32,37,1.35,warrior,30.51396930876227,2
51,41,34,31,41,1.35,warrior,30.38345025417312,3
50,40,38,33,37,1.35,warrior,30.31736819630914,5
50,40,38,33,37,1.35,warrior,30.31736819630914,4
50,40,38,33,37,1.35,warrior,30.31736819630914,3
50,40,38,33,37,1.35,warrior,30.31736819630914,3
50,40,38,33,37,1.35,warrior,30.31736819630914,2
50,40,38,33,37,1.35,warrior,30.31736819630914,2
51,39,35,31,42,1.35,warrior,30.276982265753904,4
50,41,34,32,41,1.35,warrior,30.210786626629893,2
49,39,36,32,42,1.35,warrior,30.058612514820517,5
47,42,35,34,40,1.35,warrior,29.833505943607918,4
48,43,34,37,36,1.35,warrior,29.753704697334754,5
46,41,36,35,40,1.35,warrior,29.629462937040987,5
47,42,35,37,37,1.35,warrior,29.61809890869236,4
44,41,37,32,44,1.35,warrior,29.51657887315607,3
49,40,34,31,44,1.35,warrior,30.011757198677472,1
51,40,39,31,37,1.35,warrior,30.630927543929612,1
50,40,38,33,37,1.35,warrior,30.31736819630914,1
50,40,38,33,37,1.35,warrior,30.31736819630914,1
51,40,39,31,37,1.35,warrior,30.630927543929612,2
51,40,38,32,37,1.35,warrior,30.51396930876227,3
51,41,34,31,41,1.35,warrior,30.38345025417312,4
50,40,38,33,37,1.35,warrior,30.31736819630914,6
50,40,38,33,37,1.35,warrior,30.31736819630914,5
50,40,38,33,37,1.35,warrior,30.31736819630914,4
50,40,38,33,37,1.35,warrior,30.31736819630914,4
50,40,38,33,37,1.35,warrior,30.31736819630914,3
50,40,38,33,37,1.35,warrior,30.31736819630914,3
50,40,38,33,37,1.35,warrior,30.31736819630914,2
50,40,38,33,37,1.35,warrior,30.31736819630914,2
51,39,35,31,42,1.35,warrior,30.276982265753904,5
50,41,34,32,41,1.35,warrior,30.210786626629893,3
49,39,36,32,42,1.35,warrior,30.058612514820517,6
49,40,34,31,44,1.35,warrior,30.011757198677472,2
47,42,35,34,40,1.35,warrior,29.833505943607918,5
51,39,39,31,38,1.35,warrior,30.550720215941453,1
52,40,38,31,37,1.35,warrior,30.706274033022048,1
53,42,34,31,38,1.35,warrior,30.745272702069165,1
49,39,38,32,40,1.35,warrior,30.183114709925178,1
53,42,34,31,38,1.35,warrior,30.745272702069165,2
52,40,38,31,37,1.35,warrior,30.706274033022048,2
51,40,39,31,37,1.35,warrior,30.630927543929612,3
51,39,39,31,38,1.35,warrior,30.550720215941453,2
51,40,38,32,37,1.35,warrior,30.51396930876227,4
51,41,34,31,41,1.35,warrior,30.38345025417312,5
50,40,38,33,37,1.35,warrior,30.31736819630914,7
50,40,38,33,37,1.35,warrior,30.31736819630914,6
50,40,38,33,37,1.35,warrior,30.31736819630914,5
50,40,38,33,37,1.35,warrior,30.31736819630914,5
50,40,38,33,37,1.35,warrior,30.31736819630914,4
50,40,38,33,37,1.35,warrior,30.31736819630914,4
50,40,38,33,37,1.35,warrior,30.31736819630914,3
50,40,38,33,37,1.35,warrior,30.31736819630914,3
51,39,35,31,42,1.35,warrior,30.276982265753904,6
50,41,34,32,41,1.35,warrior,30.210786626629893,4
53,42,34,31,38,1.35,warrior,30.745272702069165,1
51,41,38,31,37,1.35,warrior,30.658654866083523,1
51,39,38,32,38,1.35,warrior,30.435434470697118,1
51,39,39,31,38,1.4,warrior,32.08454743401664,1
51,39,39,31,38,1.4,warrior,32.08454743401664,2
53,42,34,31,38,1.35,warrior,30.745272702069165,3
53,42,34,31,38,1.35,warrior,30.745272702069165,2
52,40,38,31,37,1.35,warrior,30.706274033022048,3
51,41,38,31,37,1.35,warrior,30.658654866083523,2
51,40,39,31,37,1.35,warrior,30.630927543929612,4
51,39,39,31,38,1.35,warrior,30.550720215941453,3
51,40,38,32,37,1.35,warrior,30.51396930876227,5
51,39,38,32,38,1.35,warrior,30.435434470697118,2
51,41,34,31,41,1.35,warrior,30.38345025417312,6
50,40,38,33,37,1.35,warrior,30.31736819630914,8
50,40,38,33,37,1.35,warrior,30.31736819630914,7
50,40,38,33,37,1.35,warrior,30.31736819630914,6
50,40,38,33,37,1.35,warrior,30.31736819630914,6
50,40,38,33,37,1.35,warrior,30.31736819630914,5
50,40,38,33,37,1.35,warrior,30.31736819630914,5
49,38,37,30,44,1.35,warrior,30.104730031295563,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
52,39,38,31,38,1.35,warrior,30.61878053462092,1
52,43,34,31,38,1.35,warrior,30.703612124113643,1
53,42,34,31,38,1.4,warrior,32.431469569768,2
51,39,39,31,38,1.4,warrior,32.08454743401664,3
53,42,34,31,38,1.35,warrior,30.745272702069165,4
53,42,34,31,38,1.35,warrior,30.745272702069165,3
52,40,38,31,37,1.35,warrior,30.706274033022048,4
