strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age,generation
28,20,62,20,20,1.31,warrior,14.8511672723739,0,0
32,20,58,20,20,1.31,warrior,15.480800164814696,0,0
29,20,61,20,20,1.31,warrior,15.019968608848181,0,0
30,20,60,20,20,1.31,warrior,15.18122383230905,0,0
32,20,58,20,20,1.31,warrior,15.480800164814696,0,0
27,20,63,20,20,1.31,warrior,14.674899015344256,0,0
29,20,61,20,20,1.31,warrior,15.019968608848181,0,0
32,20,58,20,20,1.31,warrior,15.480800164814696,0,0
36,20,54,20,20,1.31,warrior,15.9863882328701,0,0
29,20,61,20,20,1.31,warrior,15.019968608848181,0,0
30,20,60,20,20,1.31,warrior,15.18122383230905,0,0
21,20,69,20,20,1.31,warrior,13.465425340485965,0,0
30,20,60,20,20,1.31,warrior,15.18122383230905,0,0
37,20,53,20,20,1.31,warrior,16.09296357160911,0,0
31,20,59,20,20,1.31,warrior,15.334857934262715,0,0
41,20,49,20,20,1.31,warrior,16.438662847469708,0,0
28,20,62,20,20,1.31,warrior,14.8511672723739,0,0
31,20,59,20,20,1.31,warrior,15.334857934262715,0,0
22,20,68,20,20,1.31,warrior,13.684608241583298,0,0
33,20,57,20,20,1.31,warrior,15.61898410290608,0,0
41,20,49,20,20,1.31,warrior,16.438662847469708,1,1
37,20,53,20,20,1.31,warrior,16.09296357160911,1,1
36,20,54,20,20,1.31,warrior,15.9863882328701,1,1
33,20,57,20,20,1.31,warrior,15.61898410290608,1,1
32,20,58,20,20,1.31,warrior,15.480800164814696,1,1
32,20,58,20,20,1.31,warrior,15.480800164814696,1,1
32,20,58,20,20,1.31,warrior,15.480800164814696,1,1
31,20,59,20,20,1.31,warrior,15.334857934262715,1,1
31,20,59,20,20,1.31,warrior,15.334857934262715,1,1
30,20,60,20,20,1.31,warrior,15.18122383230905,1,1
30,20,60,20,20,1.31,warrior,15.18122383230905,1,1
30,20,60,20,20,1.31,warrior,15.18122383230905,1,1
29,20,61,20,20,1.31,warrior,15.019968608848181,1,1
29,20,61,20,20,1.31,warrior,15.019968608848181,1,1
29,20,61,20,20,1.31,warrior,15.019968608848181,1,1
28,20,62,20,20,1.31,warrior,14.8511672723739,1,1
41,20,49,20,20,1.31,warrior,16.438662847469708,1,1
37,20,53,20,20,1.31,warrior,16.09296357160911,1,1
36,20,54,20,20,1.31,warrior,15.9863882328701,1,1
33,20,57,20,20,1.31,warrior,15.61898410290608,1,1
41,20,49,20,20,1.31,warrior,16.438662847469708,2,2
41,20,49,20,20,1.31,warrior,16.438662847469708,2,2
37,20,53,20,20,1.31,warrior,16.09296357160911,2,2
37,20,53,20,20,1.31,warrior,16.09296357160911,2,2
36,20,54,20,20,1.31,warrior,15.9863882328701,2,2
36,20,54,20,20,1.31,warrior,15.9863882328701,2,2
33,20,57,20,20,1.31,warrior,15.61898410290608,2,2
33,20,57,20,20,1.31,warrior,15.61898410290608,2,2
32,20,58,20,20,1.31,warrior,15.480800164814696,2,2
32,20,58,20,20,1.31,warrior,15.480800164814696,2,2
32,20,58,20,20,1.31,warrior,15.480800164814696,2,2
31,20,59,20,20,1.31,warrior,15.334857934262715,2,2
31,20,59,20,20,1.31,warrior,15.334857934262715,2,2
30,20,60,20,20,1.31,warrior,15.18122383230905,2,2
30,20,60,20,20,1.31,warrior,15.18122383230905,2,2
30,20,60,20,20,1.31,warrior,15.18122383230905,2,2
41,20,49,20,20,1.31,warrior,16.438662847469708,1,2
46,18,48,18,20,1.31,warrior,16.68737636677264,1,2
37,20,53,20,20,1.31,warrior,16.09296357160911,1,2
37,20,53,20,20,1.31,warrior,16.09296357160911,1,2
46,18,48,18,20,1.31,warrior,16.68737636677264,2,3
41,20,49,20,20,1.31,warrior,16.438662847469708,3,3
41,20,49,20,20,1.31,warrior,16.438662847469708,3,3
41,20,49,20,20,1.31,warrior,16.438662847469708,2,3
37,20,53,20,20,1.31,warrior,16.09296357160911,3,3
37,20,53,20,20,1.31,warrior,16.09296357160911,3,3
37,20,53,20,20,1.31,warrior,16.09296357160911,2,3
37,20,53,20,20,1.31,warrior,16.09296357160911,2,3
36,20,54,20,20,1.31,warrior,15.9863882328701,3,3
36,20,54,20,20,1.31,warrior,15.9863882328701,3,3
33,20,57,20,20,1.31,warrior,15.61898410290608,3,3
33,20,57,20,20,1.31,warrior,15.61898410290608,3,3
32,20,58,20,20,1.31,warrior,15.480800164814696,3,3
32,20,58,20,20,1.31,warrior,15.480800164814696,3,3
32,20,58,20,20,1.31,warrior,15.480800164814696,3,3
31,20,59,20,20,1.31,warrior,15.334857934262715,3,3
44,20,47,20,19,1.31,warrior,16.61247090932242,1,3
47,21,55,23,4,1.31,warrior,16.712521435590077,1,3
41,20,49,20,20,1.31,warrior,16.438662847469708,1,3
41,20,49,20,20,1.31,warrior,16.438662847469708,1,3
47,21,55,23,4,1.31,warrior,16.712521435590077,2,4
46,18,48,18,20,1.31,warrior,16.68737636677264,3,4
44,20,47,20,19,1.31,warrior,16.61247090932242,2,4
41,20,49,20,20,1.31,warrior,16.438662847469708,4,4
41,20,49,20,20,1.31,warrior,16.438662847469708,4,4
41,20,49,20,20,1.31,warrior,16.438662847469708,3,4
41,20,49,20,20,1.31,warrior,16.438662847469708,2,4
41,20,49,20,20,1.31,warrior,16.438662847469708,2,4
37,20,53,20,20,1.31,warrior,16.09296357160911,4,4
37,20,53,20,20,1.31,warrior,16.09296357160911,4,4
37,20,53,20,20,1.31,warrior,16.09296357160911,3,4
37,20,53,20,20,1.31,warrior,16.09296357160911,3,4
36,20,54,20,20,1.31,warrior,15.9863882328701,4,4
36,20,54,20,20,1.31,warrior,15.9863882328701,4,4
33,20,57,20,20,1.31,warrior,15.61898410290608,4,4
33,20,57,20,20,1.31,warrior,15.61898410290608,4,4
42,19,50,20,19,1.31,warrior,16.50477631305474,1,4
51,20,54,21,4,1.31,warrior,16.73119336315614,1,4
44,21,46,19,20,1.31,warrior,16.61247090932242,1,4
41,20,50,20,19,1.31,warrior,16.438662847469708,1,4
51,20,54,21,4,1.31,warrior,16.73119336315614,2,5
47,21,55,23,4,1.31,warrior,16.712521435590077,3,5
