strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age,generation
25,20,65,20,20,1.31,warrior,14.3002989514746,0,0
25,20,65,20,20,1.31,warrior,14.3002989514746,0,0
27,20,63,20,20,1.31,warrior,14.674899015344256,0,0
25,20,65,20,20,1.31,warrior,14.3002989514746,0,0
29,20,61,20,20,1.31,warrior,15.019968608848181,0,0
31,20,59,20,20,1.31,warrior,15.334857934262715,0,0
36,20,54,20,20,1.31,warrior,15.9863882328701,0,0
35,20,55,20,20,1.31,warrior,15.87183345153844,0,0
25,20,65,20,20,1.31,warrior,14.3002989514746,0,0
22,20,68,20,20,1.31,warrior,13.684608241583298,0,0
35,20,55,20,20,1.31,warrior,15.87183345153844,0,0
31,20,59,20,20,1.31,warrior,15.334857934262715,0,0
29,20,61,20,20,1.31,warrior,15.019968608848181,0,0
27,20,63,20,20,1.31,warrior,14.674899015344256,0,0
33,20,57,20,20,1.31,warrior,15.61898410290608,0,0
37,20,53,20,20,1.31,warrior,16.09296357160911,0,0
43,20,47,20,20,1.31,warrior,16.562717502333417,0,0
27,20,63,20,20,1.31,warrior,14.674899015344256,0,0
36,20,54,20,20,1.31,warrior,15.9863882328701,0,0
26,20,64,20,20,1.31,warrior,14.491247135247452,0,0
43,20,47,20,20,1.31,warrior,16.562717502333417,1,1
37,20,53,20,20,1.31,warrior,16.09296357160911,1,1
36,20,54,20,20,1.31,warrior,15.9863882328701,1,1
36,20,54,20,20,1.31,warrior,15.9863882328701,1,1
35,20,55,20,20,1.31,warrior,15.87183345153844,1,1
35,20,55,20,20,1.31,warrior,15.87183345153844,1,1
33,20,57,20,20,1.31,warrior,15.61898410290608,1,1
31,20,59,20,20,1.31,warrior,15.334857934262715,1,1
31,20,59,20,20,1.31,warrior,15.334857934262715,1,1
29,20,61,20,20,1.31,warrior,15.019968608848181,1,1
29,20,61,20,20,1.31,warrior,15.019968608848181,1,1
27,20,63,20,20,1.31,warrior,14.674899015344256,1,1
27,20,63,20,20,1.31,warrior,14.674899015344256,1,1
27,20,63,20,20,1.31,warrior,14.674899015344256,1,1
26,20,64,20,20,1.31,warrior,14.491247135247452,1,1
25,20,65,20,20,1.31,warrior,14.3002989514746,1,1
43,20,47,20,20,1.31,warrior,16.562717502333417,1,1
37,20,53,20,20,1.31,warrior,16.09296357160911,1,1
36,20,54,20,20,1.31,warrior,15.9863882328701,1,1
36,20,54,20,20,1.31,warrior,15.9863882328701,1,1
43,20,47,20,20,1.31,warrior,16.562717502333417,2,2
43,20,47,20,20,1.31,warrior,16.562717502333417,2,2
37,20,53,20,20,1.31,warrior,16.09296357160911,2,2
37,20,53,20,20,1.31,warrior,16.09296357160911,2,2
36,20,54,20,20,1.31,warrior,15.9863882328701,2,2
36,20,54,20,20,1.31,warrior,15.9863882328701,2,2
36,20,54,20,20,1.31,warrior,15.9863882328701,2,2
36,20,54,20,20,1.31,warrior,15.9863882328701,2,2
35,20,55,20,20,1.31,warrior,15.87183345153844,2,2
35,20,55,20,20,1.31,warrior,15.87183345153844,2,2
33,20,57,20,20,1.31,warrior,15.61898410290608,2,2
31,20,59,20,20,1.31,warrior,15.334857934262715,2,2
