strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
47,37,42,41,31,1.75,warrior,30.34991088106071,0
54,40,35,41,28,1.44,warrior,31.918349995001716,0
36,44,36,39,43,1.8,warrior,28.785584679782847,0
44,42,40,38,34,1.73,warrior,30.222338491816323,0
40,42,39,37,40,1.86,warrior,30.780437342333546,0
48,40,30,38,42,1.88,warrior,31.962170155055624,0
40,44,41,31,42,1.93,warrior,31.8379576712431,0
46,40,39,39,34,1.83,warrior,31.872070896364704,0
40,37,38,48,35,1.32,warrior,26.723687633807216,0
34,35,43,39,47,1.64,warrior,27.746526688833285,0
43,44,41,40,30,1.69,warrior,29.446550363215295,0
44,38,44,34,38,1.47,warrior,30.835004010030055,0
31,35,43,54,35,1.75,warrior,25.54047350266881,0
59,33,33,30,43,1.42,warrior,31.771946928154236,0
41,41,41,42,33,1.6,warrior,28.714063999446118,0
32,38,39,49,40,1.72,warrior,26.532456373654345,0
35,41,48,36,38,1.61,warrior,28.032887218704282,0
56,28,37,38,39,1.89,warrior,31.931880997135274,0
35,38,42,48,35,1.58,warrior,26.97022107420512,0
35,54,40,38,31,1.47,warrior,28.64083138021503,0
48,40,30,38,42,1.88,warrior,31.962170155055624,1
56,28,37,38,39,1.89,warrior,31.931880997135274,1
54,40,35,41,28,1.44,warrior,31.918349995001716,1
46,40,39,39,34,1.83,warrior,31.872070896364704,1
40,44,41,31,42,1.93,warrior,31.8379576712431,1
59,33,33,30,43,1.42,warrior,31.771946928154236,1
44,38,44,34,38,1.47,warrior,30.835004010030055,1
40,42,39,37,40,1.86,warrior,30.780437342333546,1
47,37,42,41,31,1.75,warrior,30.34991088106071,1
44,42,40,38,34,1.73,warrior,30.222338491816323,1
43,44,41,40,30,1.69,warrior,29.446550363215295,1
36,44,36,39,43,1.8,warrior,28.785584679782847,1
41,41,41,42,33,1.6,warrior,28.714063999446118,1
35,54,40,38,31,1.47,warrior,28.64083138021503,1
35,41,48,36,38,1.61,warrior,28.032887218704282,1
34,35,43,39,47,1.64,warrior,27.746526688833285,1
59,49,37,1,52,1.89,warrior,39.300563238719185,1
69,35,45,1,48,1.88,warrior,39.415535274598575,1
66,49,40,1,42,1.83,warrior,41.22669155437808,1
3,53,54,52,36,1.44,warrior,13.080726365774728,1
66,49,40,1,42,1.83,warrior,41.22669155437808,2
69,35,45,1,48,1.88,warrior,39.415535274598575,2
59,49,37,1,52,1.89,warrior,39.300563238719185,2
48,40,30,38,42,1.88,warrior,31.962170155055624,2
56,28,37,38,39,1.89,warrior,31.931880997135274,2
54,40,35,41,28,1.44,warrior,31.918349995001716,2
46,40,39,39,34,1.83,warrior,31.872070896364704,2
40,44,41,31,42,1.93,warrior,31.8379576712431,2
59,33,33,30,43,1.42,warrior,31.771946928154236,2
44,38,44,34,38,1.47,warrior,30.835004010030055,2
40,42,39,37,40,1.86,warrior,30.780437342333546,2
47,37,42,41,31,1.75,warrior,30.34991088106071,2
44,42,40,38,34,1.73,warrior,30.222338491816323,2
43,44,41,40,30,1.69,warrior,29.446550363215295,2
36,44,36,39,43,1.8,warrior,28.785584679782847,2
41,41,41,42,33,1.6,warrior,28.714063999446118,2
0,73,58,0,67,1.88,warrior,6.003722997474104,1
1,57,72,1,67,1.83,warrior,8.876951020055706,1
64,1,44,43,46,1.88,warrior,23.915941160375844,1
55,47,34,1,61,1.3896634491833453,warrior,31.75213115989907,1
66,49,40,1,42,1.83,warrior,41.22669155437808,3
69,35,45,1,48,1.88,warrior,39.415535274598575,3
59,49,37,1,52,1.89,warrior,39.300563238719185,3
48,40,30,38,42,1.88,warrior,31.962170155055624,3
56,28,37,38,39,1.89,warrior,31.931880997135274,3
54,40,35,41,28,1.44,warrior,31.918349995001716,3
46,40,39,39,34,1.83,warrior,31.872070896364704,3
40,44,41,31,42,1.93,warrior,31.8379576712431,3
59,33,33,30,43,1.42,warrior,31.771946928154236,3
55,47,34,1,61,1.3896634491833453,warrior,31.75213115989907,2
44,38,44,34,38,1.47,warrior,30.835004010030055,3
40,42,39,37,40,1.86,warrior,30.780437342333546,3
47,37,42,41,31,1.75,warrior,30.34991088106071,3
44,42,40,38,34,1.73,warrior,30.222338491816323,3
43,44,41,40,30,1.69,warrior,29.446550363215295,3
36,44,36,39,43,1.8,warrior,28.785584679782847,3
85,60,49,2,2,1.88,warrior,56.64794548829249,1
86,0,57,1,54,1.83,warrior,26.31661483364472,1
79,66,51,1,1,1.88,warrior,57.25577034682818,1
0,49,38,46,65,1.89,warrior,11.96154920649456,1
79,66,51,1,1,1.88,warrior,57.25577034682818,2
85,60,49,2,2,1.88,warrior,56.64794548829249,2
66,49,40,1,42,1.83,warrior,41.22669155437808,4
69,35,45,1,48,1.88,warrior,39.415535274598575,4
59,49,37,1,52,1.89,warrior,39.300563238719185,4
48,40,30,38,42,1.88,warrior,31.962170155055624,4
56,28,37,38,39,1.89,warrior,31.931880997135274,4
54,40,35,41,28,1.44,warrior,31.918349995001716,4
46,40,39,39,34,1.83,warrior,31.872070896364704,4
40,44,41,31,42,1.93,warrior,31.8379576712431,4
59,33,33,30,43,1.42,warrior,31.771946928154236,4
55,47,34,1,61,1.3896634491833453,warrior,31.75213115989907,3
44,38,44,34,38,1.47,warrior,30.835004010030055,4
40,42,39,37,40,1.86,warrior,30.780437342333546,4
47,37,42,41,31,1.75,warrior,30.34991088106071,4
44,42,40,38,34,1.73,warrior,30.222338491816323,4
79,66,51,1,1,1.5943794738519288,warrior,45.745975629932104,1
123,0,70,3,2,1.88,warrior,31.0885502080298,1
84,62,51,1,0,1.88,warrior,57.65415512163853,1
0,55,73,4,66,1.83,warrior,8.640529917496647,1
84,62,51,1,0,1.88,warrior,57.65415512163853,2
79,66,51,1,1,1.88,warrior,57.25577034682818,3
85,60,49,2,2,1.88,warrior,56.64794548829249,3
79,66,51,1,1,1.5943794738519288,warrior,45.745975629932104,2
66,49,40,1,42,1.83,warrior,41.22669155437808,5
69,35,45,1,48,1.88,warrior,39.415535274598575,5
59,49,37,1,52,1.89,warrior,39.300563238719185,5
48,40,30,38,42,1.88,warrior,31.962170155055624,5
56,28,37,38,39,1.89,warrior,31.931880997135274,5
54,40,35,41,28,1.44,warrior,31.918349995001716,5
46,40,39,39,34,1.83,warrior,31.872070896364704,5
40,44,41,31,42,1.93,warrior,31.8379576712431,5
59,33,33,30,43,1.42,warrior,31.771946928154236,5
55,47,34,1,61,1.3896634491833453,warrior,31.75213115989907,4
123,0,70,3,2,1.88,warrior,31.0885502080298,2
44,38,44,34,38,1.47,warrior,30.835004010030055,5
84,62,51,1,0,1.88,warrior,57.65415512163853,1
79,66,51,1,1,1.349892092569494,warrior,43.05117057430071,1
110,86,0,1,1,1.5943794738519288,warrior,44.88297513377474,1
81,61,50,3,3,1.8828442553300824,warrior,55.90919617925277,1
84,62,51,1,0,1.88,warrior,57.65415512163853,3
84,62,51,1,0,1.88,warrior,57.65415512163853,2
79,66,51,1,1,1.88,warrior,57.25577034682818,4
85,60,49,2,2,1.88,warrior,56.64794548829249,4
81,61,50,3,3,1.8828442553300824,warrior,55.90919617925277,2
79,66,51,1,1,1.5943794738519288,warrior,45.745975629932104,3
110,86,0,1,1,1.5943794738519288,warrior,44.88297513377474,2
79,66,51,1,1,1.349892092569494,warrior,43.05117057430071,2
66,49,40,1,42,1.83,warrior,41.22669155437808,6
69,35,45,1,48,1.88,warrior,39.415535274598575,6
59,49,37,1,52,1.89,warrior,39.300563238719185,6
48,40,30,38,42,1.88,warrior,31.962170155055624,6
56,28,37,38,39,1.89,warrior,31.931880997135274,6
54,40,35,41,28,1.44,warrior,31.918349995001716,6
46,40,39,39,34,1.83,warrior,31.872070896364704,6
40,44,41,31,42,1.93,warrior,31.8379576712431,6
84,62,51,1,0,1.3961446361663734,warrior,48.7781394429719,1
121,0,74,2,1,1.88,warrior,32.00095747237087,1
79,67,51,0,1,1.88,warrior,57.69209506574262,1
115,79,0,3,1,1.88,warrior,54.341263918209656,1
79,67,51,0,1,1.88,warrior,57.69209506574262,2
84,62,51,1,0,1.88,warrior,57.65415512163853,4
84,62,51,1,0,1.88,warrior,57.65415512163853,3
79,66,51,1,1,1.88,warrior,57.25577034682818,5
85,60,49,2,2,1.88,warrior,56.64794548829249,5
81,61,50,3,3,1.8828442553300824,warrior,55.90919617925277,3
115,79,0,3,1,1.88,warrior,54.341263918209656,2
84,62,51,1,0,1.3961446361663734,warrior,48.7781394429719,2
79,66,51,1,1,1.5943794738519288,warrior,45.745975629932104,4
110,86,0,1,1,1.5943794738519288,warrior,44.88297513377474,3
79,66,51,1,1,1.349892092569494,warrior,43.05117057430071,3
66,49,40,1,42,1.83,warrior,41.22669155437808,7
69,35,45,1,48,1.88,warrior,39.415535274598575,7
59,49,37,1,52,1.89,warrior,39.300563238719185,7
121,0,74,2,1,1.88,warrior,32.00095747237087,2
48,40,30,38,42,1.88,warrior,31.962170155055624,7
106,89,0,2,1,1.88,warrior,56.4066084041924,1
84,62,51,0,1,1.88,warrior,57.74643110463118,1
112,85,0,1,0,1.88,warrior,56.31629682109512,1
1,111,84,1,1,1.88,warrior,1.3644987757336702,1
84,62,51,0,1,1.88,warrior,57.74643110463118,2
79,67,51,0,1,1.88,warrior,57.69209506574262,3
84,62,51,1,0,1.88,warrior,57.65415512163853,5
84,62,51,1,0,1.88,warrior,57.65415512163853,4
79,66,51,1,1,1.88,warrior,57.25577034682818,6
85,60,49,2,2,1.88,warrior,56.64794548829249,6
106,89,0,2,1,1.88,warrior,56.4066084041924,2
112,85,0,1,0,1.88,warrior,56.31629682109512,2
81,61,50,3,3,1.8828442553300824,warrior,55.90919617925277,4
115,79,0,3,1,1.88,warrior,54.341263918209656,3
84,62,51,1,0,1.3961446361663734,warrior,48.7781394429719,3
79,66,51,1,1,1.5943794738519288,warrior,45.745975629932104,5
110,86,0,1,1,1.5943794738519288,warrior,44.88297513377474,4
79,66,51,1,1,1.349892092569494,warrior,43.05117057430071,4
66,49,40,1,42,1.83,warrior,41.22669155437808,8
69,35,45,1,48,1.88,warrior,39.415535274598575,8
112,84,0,0,2,1.88,warrior,55.887618245424285,1
79,67,51,0,1,1.613912320356798,warrior,45.72922438456596,1
84,63,51,0,0,1.88,warrior,58.13334186715585,1
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,1
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,2
84,63,51,0,0,1.88,warrior,58.13334186715585,2
84,62,51,0,1,1.88,warrior,57.74643110463118,3
79,67,51,0,1,1.88,warrior,57.69209506574262,4
84,62,51,1,0,1.88,warrior,57.65415512163853,6
84,62,51,1,0,1.88,warrior,57.65415512163853,5
79,66,51,1,1,1.88,warrior,57.25577034682818,7
85,60,49,2,2,1.88,warrior,56.64794548829249,7
106,89,0,2,1,1.88,warrior,56.4066084041924,3
112,85,0,1,0,1.88,warrior,56.31629682109512,3
81,61,50,3,3,1.8828442553300824,warrior,55.90919617925277,5
112,84,0,0,2,1.88,warrior,55.887618245424285,2
115,79,0,3,1,1.88,warrior,54.341263918209656,4
84,62,51,1,0,1.3961446361663734,warrior,48.7781394429719,4
79,66,51,1,1,1.5943794738519288,warrior,45.745975629932104,6
79,67,51,0,1,1.613912320356798,warrior,45.72922438456596,2
121,1,75,1,0,1.88,warrior,33.019276529386424,1
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,1
84,62,51,0,1,1.88,warrior,57.74643110463118,1
119,1,77,0,1,1.88,warrior,33.497963702596195,1
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,3
84,63,51,0,0,1.88,warrior,58.13334186715585,3
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,2
84,62,51,0,1,1.88,warrior,57.74643110463118,4
84,62,51,0,1,1.88,warrior,57.74643110463118,2
79,67,51,0,1,1.88,warrior,57.69209506574262,5
84,62,51,1,0,1.88,warrior,57.65415512163853,7
84,62,51,1,0,1.88,warrior,57.65415512163853,6
79,66,51,1,1,1.88,warrior,57.25577034682818,8
85,60,49,2,2,1.88,warrior,56.64794548829249,8
106,89,0,2,1,1.88,warrior,56.4066084041924,4
112,85,0,1,0,1.88,warrior,56.31629682109512,4
81,61,50,3,3,1.8828442553300824,warrior,55.90919617925277,6
112,84,0,0,2,1.88,warrior,55.887618245424285,3
115,79,0,3,1,1.88,warrior,54.341263918209656,5
84,62,51,1,0,1.3961446361663734,warrior,48.7781394429719,5
84,62,52,0,0,1.6239533549324565,warrior,45.783339153773845,1
