strength,dexterity,intelligence,vigor,constitution,height,fitness,generation,parent_selection_method_1,parent_selection_method_2,replacement_selection_method_1,replacement_selection_method_2
49,37,40,36,36,1.85,32.785620886810754,100,elite,elite,elite,elite
49,37,40,36,36,1.85,32.785620886810754,100,elite,elite,elite,elite
49,37,40,36,36,1.85,32.785620886810754,100,elite,elite,elite,elite
49,37,40,36,36,1.85,32.785620886810754,100,elite,elite,elite,elite
49,37,40,36,36,1.85,32.785620886810754,100,elite,elite,elite,elite
49,37,40,36,36,1.85,32.785620886810754,100,elite,elite,elite,elite
49,37,40,36,36,1.85,32.785620886810754,100,elite,elite,elite,elite
49,37,40,36,36,1.85,32.785620886810754,100,elite,elite,elite,elite
49,37,40,36,36,1.85,32.785620886810754,100,elite,elite,elite,elite
49,37,40,36,36,1.85,32.785620886810754,100,elite,elite,elite,elite
45,42,36,34,41,1.95,32.46948900194716,100,elite,elite,elite,roulette
45,42,36,34,41,1.95,32.46948900194716,100,elite,elite,elite,roulette
45,42,36,34,41,1.95,32.46948900194716,100,elite,elite,elite,roulette
45,42,36,34,41,1.95,32.46948900194716,100,elite,elite,elite,roulette
45,42,36,34,41,1.95,32.46948900194716,100,elite,elite,elite,roulette
45,42,36,34,41,1.95,32.46948900194716,100,elite,elite,elite,roulette
45,42,36,34,41,1.95,32.46948900194716,100,elite,elite,elite,roulette
45,42,36,34,41,1.95,32.46948900194716,100,elite,elite,elite,roulette
45,42,36,34,41,1.95,32.46948900194716,100,elite,elite,elite,roulette
45,42,36,34,41,1.95,32.46948900194716,100,elite,elite,elite,roulette
44,49,37,32,36,1.97,33.21248516433422,100,elite,elite,elite,ranking
44,49,37,32,36,1.97,33.21248516433422,100,elite,elite,elite,ranking
44,49,37,32,36,1.97,33.21248516433422,100,elite,elite,elite,ranking
44,49,37,32,36,1.97,33.21248516433422,100,elite,elite,elite,ranking
44,49,37,32,36,1.97,33.21248516433422,100,elite,elite,elite,ranking
44,49,37,32,36,1.97,33.21248516433422,100,elite,elite,elite,ranking
44,49,37,32,36,1.97,33.21248516433422,100,elite,elite,elite,ranking
44,49,37,32,36,1.97,33.21248516433422,100,elite,elite,elite,ranking
44,49,37,32,36,1.97,33.21248516433422,100,elite,elite,elite,ranking
44,49,37,32,36,1.97,33.21248516433422,100,elite,elite,elite,ranking
47,37,44,31,39,1.8,32.16244962405784,100,elite,elite,elite,universal
47,37,44,31,39,1.8,32.16244962405784,100,elite,elite,elite,universal
47,37,44,31,39,1.8,32.16244962405784,100,elite,elite,elite,universal
47,37,44,31,39,1.8,32.16244962405784,100,elite,elite,elite,universal
47,37,44,31,39,1.8,32.16244962405784,100,elite,elite,elite,universal
47,37,44,31,39,1.8,32.16244962405784,100,elite,elite,elite,universal
47,37,44,31,39,1.8,32.16244962405784,100,elite,elite,elite,universal
47,37,44,31,39,1.8,32.16244962405784,100,elite,elite,elite,universal
47,37,44,31,39,1.8,32.16244962405784,100,elite,elite,elite,universal
47,37,44,31,39,1.8,32.16244962405784,100,elite,elite,elite,universal
42,50,33,42,31,1.93,32.09727889691736,100,elite,elite,elite,deterministic_tournament
42,50,33,42,31,1.93,32.09727889691736,100,elite,elite,elite,deterministic_tournament
42,50,33,42,31,1.93,32.09727889691736,100,elite,elite,elite,deterministic_tournament
42,50,33,42,31,1.93,32.09727889691736,100,elite,elite,elite,deterministic_tournament
42,50,33,42,31,1.93,32.09727889691736,100,elite,elite,elite,deterministic_tournament
42,50,33,42,31,1.93,32.09727889691736,100,elite,elite,elite,deterministic_tournament
42,50,33,42,31,1.93,32.09727889691736,100,elite,elite,elite,deterministic_tournament
42,50,33,42,31,1.93,32.09727889691736,100,elite,elite,elite,deterministic_tournament
42,50,33,42,31,1.93,32.09727889691736,100,elite,elite,elite,deterministic_tournament
42,50,33,42,31,1.93,32.09727889691736,100,elite,elite,elite,deterministic_tournament
47,43,42,35,31,1.93,34.28072210191455,100,elite,elite,elite,probabilistic_tournament
47,43,42,35,31,1.93,34.28072210191455,100,elite,elite,elite,probabilistic_tournament
47,43,42,35,31,1.93,34.28072210191455,100,elite,elite,elite,probabilistic_tournament
47,43,42,35,31,1.93,34.28072210191455,100,elite,elite,elite,probabilistic_tournament
47,43,42,35,31,1.93,34.28072210191455,100,elite,elite,elite,probabilistic_tournament
47,43,42,35,31,1.93,34.28072210191455,100,elite,elite,elite,probabilistic_tournament
47,43,42,35,31,1.93,34.28072210191455,100,elite,elite,elite,probabilistic_tournament
47,43,42,35,31,1.93,34.28072210191455,100,elite,elite,elite,probabilistic_tournament
47,43,42,35,31,1.93,34.28072210191455,100,elite,elite,elite,probabilistic_tournament
47,43,42,35,31,1.93,34.28072210191455,100,elite,elite,elite,probabilistic_tournament
46,46,36,32,38,1.88,33.7874183423117,100,elite,elite,elite,boltzmann
46,46,36,32,38,1.88,33.7874183423117,100,elite,elite,elite,boltzmann
46,46,36,32,38,1.88,33.7874183423117,100,elite,elite,elite,boltzmann
46,46,36,32,38,1.88,33.7874183423117,100,elite,elite,elite,boltzmann
46,46,36,32,38,1.88,33.7874183423117,100,elite,elite,elite,boltzmann
46,46,36,32,38,1.88,33.7874183423117,100,elite,elite,elite,boltzmann
46,46,36,32,38,1.88,33.7874183423117,100,elite,elite,elite,boltzmann
46,46,36,32,38,1.88,33.7874183423117,100,elite,elite,elite,boltzmann
46,46,36,32,38,1.88,33.7874183423117,100,elite,elite,elite,boltzmann
46,46,36,32,38,1.88,33.7874183423117,100,elite,elite,elite,boltzmann
48,42,43,32,33,1.53,31.78960875416402,100,elite,elite,roulette,elite
48,42,43,32,33,1.53,31.78960875416402,100,elite,elite,roulette,elite
48,42,43,32,33,1.53,31.78960875416402,100,elite,elite,roulette,elite
48,42,43,32,33,1.53,31.78960875416402,100,elite,elite,roulette,elite
48,42,43,32,33,1.53,31.78960875416402,100,elite,elite,roulette,elite
48,42,43,32,33,1.53,31.78960875416402,100,elite,elite,roulette,elite
48,42,43,32,33,1.53,31.78960875416402,100,elite,elite,roulette,elite
48,42,43,32,33,1.53,31.78960875416402,100,elite,elite,roulette,elite
48,42,43,32,33,1.53,31.78960875416402,100,elite,elite,roulette,elite
48,42,43,32,33,1.53,31.78960875416402,100,elite,elite,roulette,elite
45,41,42,35,35,1.95,32.95125071569921,100,elite,elite,roulette,roulette
45,41,42,35,35,1.95,32.95125071569921,100,elite,elite,roulette,roulette
45,41,42,35,35,1.95,32.95125071569921,100,elite,elite,roulette,roulette
45,41,42,35,35,1.95,32.95125071569921,100,elite,elite,roulette,roulette
45,41,42,35,35,1.95,32.95125071569921,100,elite,elite,roulette,roulette
45,41,42,35,35,1.95,32.95125071569921,100,elite,elite,roulette,roulette
45,41,42,35,35,1.95,32.95125071569921,100,elite,elite,roulette,roulette
45,41,42,35,35,1.95,32.95125071569921,100,elite,elite,roulette,roulette
45,41,42,35,35,1.95,32.95125071569921,100,elite,elite,roulette,roulette
45,41,42,35,35,1.95,32.95125071569921,100,elite,elite,roulette,roulette
49,41,43,28,37,2.0,33.12992978452999,100,elite,elite,roulette,ranking
49,41,43,28,37,2.0,33.12992978452999,100,elite,elite,roulette,ranking
49,41,43,28,37,2.0,33.12992978452999,100,elite,elite,roulette,ranking
49,41,43,28,37,2.0,33.12992978452999,100,elite,elite,roulette,ranking
49,41,43,28,37,2.0,33.12992978452999,100,elite,elite,roulette,ranking
49,41,43,28,37,2.0,33.12992978452999,100,elite,elite,roulette,ranking
49,41,43,28,37,2.0,33.12992978452999,100,elite,elite,roulette,ranking
49,41,43,28,37,2.0,33.12992978452999,100,elite,elite,roulette,ranking
49,41,43,28,37,2.0,33.12992978452999,100,elite,elite,roulette,ranking
49,41,43,28,37,2.0,33.12992978452999,100,elite,elite,roulette,ranking
46,52,28,30,42,1.89,33.84822321617266,100,elite,elite,roulette,universal
46,52,28,30,42,1.89,33.84822321617266,100,elite,elite,roulette,universal
46,52,28,30,42,1.89,33.84822321617266,100,elite,elite,roulette,universal
46,52,28,30,42,1.89,33.84822321617266,100,elite,elite,roulette,universal
46,52,28,30,42,1.89,33.84822321617266,100,elite,elite,roulette,universal
46,52,28,30,42,1.89,33.84822321617266,100,elite,elite,roulette,universal
46,52,28,30,42,1.89,33.84822321617266,100,elite,elite,roulette,universal
46,52,28,30,42,1.89,33.84822321617266,100,elite,elite,roulette,universal
46,52,28,30,42,1.89,33.84822321617266,100,elite,elite,roulette,universal
46,52,28,30,42,1.89,33.84822321617266,100,elite,elite,roulette,universal
45,41,40,31,41,1.87,32.864613761445064,100,elite,elite,roulette,deterministic_tournament
45,41,40,31,41,1.87,32.864613761445064,100,elite,elite,roulette,deterministic_tournament
45,41,40,31,41,1.87,32.864613761445064,100,elite,elite,roulette,deterministic_tournament
45,41,40,31,41,1.87,32.864613761445064,100,elite,elite,roulette,deterministic_tournament
45,41,40,31,41,1.87,32.864613761445064,100,elite,elite,roulette,deterministic_tournament
45,41,40,31,41,1.87,32.864613761445064,100,elite,elite,roulette,deterministic_tournament
45,41,40,31,41,1.87,32.864613761445064,100,elite,elite,roulette,deterministic_tournament
45,41,40,31,41,1.87,32.864613761445064,100,elite,elite,roulette,deterministic_tournament
45,41,40,31,41,1.87,32.864613761445064,100,elite,elite,roulette,deterministic_tournament
45,41,40,31,41,1.87,32.864613761445064,100,elite,elite,roulette,deterministic_tournament
47,39,52,28,32,1.96,34.48113544566641,100,elite,elite,roulette,probabilistic_tournament
47,39,52,28,32,1.96,34.48113544566641,100,elite,elite,roulette,probabilistic_tournament
47,39,52,28,32,1.96,34.48113544566641,100,elite,elite,roulette,probabilistic_tournament
47,39,52,28,32,1.96,34.48113544566641,100,elite,elite,roulette,probabilistic_tournament
47,39,52,28,32,1.96,34.48113544566641,100,elite,elite,roulette,probabilistic_tournament
47,39,52,28,32,1.96,34.48113544566641,100,elite,elite,roulette,probabilistic_tournament
47,39,52,28,32,1.96,34.48113544566641,100,elite,elite,roulette,probabilistic_tournament
47,39,52,28,32,1.96,34.48113544566641,100,elite,elite,roulette,probabilistic_tournament
47,39,52,28,32,1.96,34.48113544566641,100,elite,elite,roulette,probabilistic_tournament
47,39,52,28,32,1.96,34.48113544566641,100,elite,elite,roulette,probabilistic_tournament
