strength,dexterity,intelligence,vigor,constitution,height,fitness,generation,selection_rate
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
43,44,44,32,35,1.94,33.28143277855617,10000,1
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
52,34,34,34,44,1.85,32.05951790798879,10000,2
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
45,42,42,35,34,1.98,32.43471277091304,10000,3
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
47,44,45,33,29,1.44,32.39993641199709,10000,4
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.88,59.83306927225817,10000,5
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,79,28,1,0,1.96,58.46790829222047,10000,6
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
