Class,Total Points,Strength,Dexterity,Intelligence,Vigor,Constitution,Height,Value
warrior,100,50,50,0,0,0,1.920000,21.833305
archer,100,50,50,0,0,0,1.920000,32.749957
guardian,100,0,0,0,50,50,1.300000,30.830327
mage,100,50,50,0,0,0,1.920000,29.111073
warrior,101,50,51,0,0,0,1.920000,22.203151
archer,101,50,51,0,0,0,1.920000,33.304726
guardian,101,0,0,0,50,51,1.300000,31.352578
mage,101,50,51,0,0,0,1.920000,29.604201
warrior,102,51,51,0,0,0,1.920000,22.579261
archer,102,51,51,0,0,0,1.920000,33.868892
guardian,102,0,0,0,51,51,1.300000,31.883676
mage,102,51,51,0,0,0,1.920000,30.105682
warrior,103,51,52,0,0,0,1.920000,22.951854
archer,103,51,52,0,0,0,1.920000,34.427780
guardian,103,0,0,0,51,52,1.300000,32.409805
mage,103,51,52,0,0,0,1.920000,30.602471
warrior,104,52,52,0,0,0,1.920000,23.330594
archer,104,52,52,0,0,0,1.920000,34.995891
guardian,104,0,0,0,52,52,1.300000,32.944616
mage,104,52,52,0,0,0,1.920000,31.107459
warrior,105,53,52,0,0,0,1.920000,23.705734
archer,105,53,52,0,0,0,1.920000,35.558600
guardian,105,0,0,0,52,53,1.300000,33.474342
mage,105,53,52,0,0,0,1.920000,31.607645
warrior,106,53,53,0,0,0,1.920000,24.086905
archer,106,53,53,0,0,0,1.920000,36.130358
guardian,106,0,0,0,53,53,1.300000,34.012586
mage,106,53,53,0,0,0,1.920000,32.115873
warrior,107,53,54,0,0,0,1.920000,24.464394
archer,107,53,54,0,0,0,1.920000,36.696591
guardian,107,0,0,0,53,54,1.300000,34.545630
mage,107,53,54,0,0,0,1.920000,32.619192
warrior,108,54,54,0,0,0,1.920000,24.847799
archer,108,54,54,0,0,0,1.920000,37.271699
guardian,108,0,0,0,54,54,1.300000,35.087028
mage,108,54,54,0,0,0,1.920000,33.130399
warrior,109,54,55,0,0,0,1.920000,25.227443
archer,109,54,55,0,0,0,1.920000,37.841164
guardian,109,0,0,0,54,55,1.300000,35.623114
mage,109,54,55,0,0,0,1.920000,33.636591
warrior,110,55,55,0,0,0,1.920000,25.612887
archer,110,55,55,0,0,0,1.920000,38.419330
guardian,110,0,0,0,55,55,1.300000,36.167391
mage,110,55,55,0,0,0,1.920000,34.150516
warrior,111,55,56,0,0,0,1.920000,25.994492
archer,111,55,56,0,0,0,1.920000,38.991738
guardian,111,0,0,0,55,56,1.300000,36.706247
mage,111,55,56,0,0,0,1.920000,34.659323
warrior,112,56,56,0,0,0,1.920000,26.381782
archer,112,56,56,0,0,0,1.920000,39.572674
guardian,112,0,0,0,56,56,1.300000,37.253132
mage,112,56,56,0,0,0,1.920000,35.175710
warrior,113,56,57,0,0,0,1.920000,26.765158
archer,113,56,57,0,0,0,1.920000,40.147737
guardian,113,0,0,0,56,57,1.300000,37.794488
mage,113,56,57,0,0,0,1.920000,35.686877
warrior,114,57,57,0,0,0,1.920000,27.154105
archer,114,57,57,0,0,0,1.920000,40.731157
guardian,114,0,0,0,57,57,1.300000,38.343711
mage,114,57,57,0,0,0,1.920000,36.205473
warrior,115,57,58,0,0,0,1.920000,27.539064
archer,115,57,58,0,0,0,1.920000,41.308595
guardian,115,0,0,0,57,58,1.300000,38.887303
mage,115,57,58,0,0,0,1.920000,36.718752
warrior,116,58,58,0,0,0,1.920000,27.929480
archer,116,58,58,0,0,0,1.920000,41.894220
guardian,116,0,0,0,58,58,1.300000,39.438601
mage,116,58,58,0,0,0,1.920000,37.239306
