Total Points,Strength,Dexterity,Intelligence,Vigor,Constitution,Height,Value
100,0,0,0,50,50,1.300000,30.830327
101,0,0,0,50,51,1.300000,31.352578
102,0,0,0,51,51,1.300000,31.883676
103,0,0,0,51,52,1.300000,32.409805
104,0,0,0,52,52,1.300000,32.944616
105,0,0,0,52,53,1.300000,33.474342
106,0,0,0,53,53,1.300000,34.012586
107,0,0,0,53,54,1.300000,34.545630
108,0,0,0,54,54,1.300000,35.087028
109,0,0,0,54,55,1.300000,35.623114
110,0,0,0,55,55,1.300000,36.167391
111,0,0,0,55,56,1.300000,36.706247
112,0,0,0,56,56,1.300000,37.253132
113,0,0,0,56,57,1.300000,37.794488
114,0,0,0,57,57,1.300000,38.343711
115,0,0,0,57,58,1.300000,38.887303
116,0,0,0,58,58,1.300000,39.438601
117,0,0,0,58,59,1.300000,39.984166
118,0,0,0,59,59,1.300000,40.537278
119,0,0,0,59,60,1.300000,41.084560
120,0,0,0,60,60,1.300000,41.639230
121,0,0,0,60,61,1.300000,42.187974
122,0,0,0,61,61,1.300000,42.743951
123,0,0,0,61,62,1.300000,43.293909
124,0,0,0,62,62,1.300000,43.850944
125,0,0,0,62,63,1.300000,44.401872
126,0,0,0,63,63,1.300000,44.959722
127,0,0,0,63,64,1.300000,45.511381
128,0,0,0,64,64,1.300000,46.069809
129,0,0,0,64,65,1.300000,46.621963
130,0,0,0,65,65,1.300000,47.180735
131,0,0,0,65,66,1.300000,47.733155
132,0,0,0,66,66,1.300000,48.292042
133,0,0,0,66,67,1.300000,48.844503
134,0,0,0,67,67,1.300000,49.403283
135,0,0,0,67,68,1.300000,49.955564
136,0,0,0,68,68,1.300000,50.514019
137,0,0,0,68,69,1.300000,51.065907
138,0,0,0,69,69,1.300000,51.623824
139,0,0,0,69,70,1.300000,52.175109
140,0,0,0,70,70,1.300000,52.732280
141,0,0,0,70,71,1.300000,53.282758
142,0,0,0,71,71,1.300000,53.838982
143,0,0,0,71,72,1.300000,54.388454
144,0,0,0,72,72,1.300000,54.943534
145,0,0,0,72,73,1.300000,55.491807
146,0,0,0,73,73,1.300000,56.045552
147,0,0,0,74,73,1.300000,56.592439
148,0,0,0,74,74,1.300000,57.144662
149,0,0,0,74,75,1.300000,57.689981
150,0,0,0,75,75,1.300000,58.240503
151,0,0,1,75,75,1.300000,58.790660
152,0,0,2,75,75,1.300000,59.340707
153,0,0,2,75,76,1.300000,59.894549
154,0,0,3,75,76,1.300000,60.449507
155,0,0,4,75,76,1.300000,61.004133
156,0,0,4,75,77,1.300000,61.561049
157,0,0,5,75,77,1.300000,62.120290
158,0,0,6,75,77,1.300000,62.678973
159,0,0,6,75,78,1.300000,63.238713
160,0,0,7,75,78,1.300000,63.801710
161,0,0,8,75,78,1.300000,64.363921
162,0,0,8,75,79,1.300000,64.926232
163,0,0,9,75,79,1.300000,65.492450
164,0,0,10,75,79,1.300000,66.057652
165,0,0,10,75,80,1.300000,66.622278
166,0,0,11,75,80,1.300000,67.191176
167,0,0,11,76,80,1.300000,67.759473
168,0,0,12,76,80,1.300000,68.327126
169,0,0,12,76,81,1.300000,68.898561
170,0,0,13,76,81,1.300000,69.469596
171,0,0,14,76,81,1.300000,70.039156
172,0,0,14,76,82,1.300000,70.612324
173,0,0,15,76,82,1.300000,71.184950
174,0,0,16,76,82,1.300000,71.755874
175,0,0,16,76,83,1.300000,72.330513
176,0,0,16,77,83,1.300000,72.905460
177,0,0,17,77,83,1.300000,73.479133
178,0,0,17,77,84,1.300000,74.055007
179,0,0,18,77,84,1.300000,74.631232
180,0,0,19,77,84,1.300000,75.205408
181,0,0,19,77,85,1.300000,75.782261
182,0,0,20,77,85,1.300000,76.358674
183,0,0,20,78,85,1.300000,76.935065
184,0,0,20,78,86,1.300000,77.512655
185,0,0,21,78,86,1.300000,78.091106
186,0,0,22,78,86,1.300000,78.667169
187,0,0,22,78,87,1.300000,79.245256
188,0,0,23,78,87,1.300000,79.823044
189,0,0,23,79,87,1.300000,80.400443
190,0,0,23,79,88,1.300000,80.978787
191,0,0,24,79,88,1.300000,81.558107
192,0,0,25,79,88,1.300000,82.134704
193,0,0,25,79,89,1.300000,82.713074
194,0,0,25,80,89,1.300000,83.291061
195,0,0,26,80,89,1.300000,83.868882
196,0,0,26,80,90,1.300000,84.447049
197,0,0,27,80,90,1.300000,85.025902
198,0,0,28,80,90,1.300000,85.601710
199,0,0,28,80,91,1.300000,86.179447
200,0,0,28,81,91,1.300000,86.757616
