Total Points,Strength,Dexterity,Intelligence,Vigor,Constitution,Height,Value
100,50,50,0,0,0,1.920000,29.111073
101,50,51,0,0,0,1.920000,29.604201
102,51,51,0,0,0,1.920000,30.105682
103,51,52,0,0,0,1.920000,30.602471
104,52,52,0,0,0,1.920000,31.107459
105,53,52,0,0,0,1.920000,31.607645
106,53,53,0,0,0,1.920000,32.115873
107,53,54,0,0,0,1.920000,32.619192
108,54,54,0,0,0,1.920000,33.130399
109,54,55,0,0,0,1.920000,33.636591
110,55,55,0,0,0,1.920000,34.150516
111,55,56,0,0,0,1.920000,34.659323
112,56,56,0,0,0,1.920000,35.175710
113,56,57,0,0,0,1.920000,35.686877
114,57,57,0,0,0,1.920000,36.205473
115,57,58,0,0,0,1.920000,36.718752
116,58,58,0,0,0,1.920000,37.239306
117,58,59,0,0,0,1.920000,37.754448
118,59,59,0,0,0,1.920000,38.276716
119,59,60,0,0,0,1.920000,38.793478
120,60,60,0,0,0,1.920000,39.317217
121,60,61,0,0,0,1.920000,39.835361
122,61,61,0,0,0,1.920000,40.360333
123,62,61,0,0,0,1.920000,40.879623
124,62,62,0,0,0,1.920000,41.405595
125,62,63,0,0,0,1.920000,41.925801
126,63,63,0,0,0,1.920000,42.452542
127,63,64,0,0,0,1.920000,42.973438
128,64,64,0,0,0,1.920000,43.500725
129,64,65,0,0,0,1.920000,44.022088
130,65,65,0,0,0,1.920000,44.549700
131,65,66,0,0,0,1.920000,45.071314
132,66,66,0,0,0,1.920000,45.599035
133,66,67,0,0,0,1.920000,46.120688
134,67,67,0,0,0,1.920000,46.648308
135,67,68,0,0,0,1.920000,47.169791
136,68,68,0,0,0,1.920000,47.697104
137,68,69,0,0,0,1.920000,48.218215
138,69,69,0,0,0,1.920000,48.745020
139,69,70,0,0,0,1.920000,49.265562
140,70,70,0,0,0,1.920000,49.791663
141,70,71,0,0,0,1.920000,50.311443
142,71,71,0,0,0,1.920000,50.836650
143,71,72,0,0,0,1.920000,51.355480
144,72,72,0,0,0,1.920000,51.879606
145,72,73,0,0,0,1.920000,52.397305
146,73,73,0,0,0,1.920000,52.920170
147,73,74,0,0,0,1.920000,53.436560
148,74,74,0,0,0,1.920000,53.957989
149,74,75,0,0,0,1.920000,54.472898
150,75,75,0,0,0,1.920000,54.992720
151,75,75,1,0,0,1.920000,55.512197
152,75,75,2,0,0,1.920000,56.031571
153,76,75,2,0,0,1.920000,56.554528
154,76,75,3,0,0,1.920000,57.078539
155,76,75,4,0,0,1.920000,57.602236
156,77,75,4,0,0,1.920000,58.128095
157,77,75,5,0,0,1.920000,58.656151
158,77,75,6,0,0,1.920000,59.183679
159,78,75,6,0,0,1.920000,59.712205
160,78,75,7,0,0,1.920000,60.243806
161,78,75,8,0,0,1.920000,60.774665
162,79,75,8,0,0,1.920000,61.305619
163,79,75,9,0,0,1.920000,61.840262
164,79,75,10,0,0,1.920000,62.373945
165,80,75,10,0,0,1.920000,62.907085
166,80,75,11,0,0,1.920000,63.444259
167,80,76,11,0,0,1.920000,63.980864
168,80,76,12,0,0,1.920000,64.516862
169,81,76,12,0,0,1.920000,65.056431
170,81,76,13,0,0,1.920000,65.595622
171,81,76,14,0,0,1.920000,66.133421
172,82,76,14,0,0,1.920000,66.674626
173,82,76,15,0,0,1.920000,67.215320
174,82,76,16,0,0,1.920000,67.754406
175,83,76,16,0,0,1.920000,68.297001
176,83,77,16,0,0,1.920000,68.839885
177,83,77,17,0,0,1.920000,69.381567
178,84,77,17,0,0,1.920000,69.925327
179,84,77,18,0,0,1.920000,70.469419
180,84,77,19,0,0,1.920000,71.011577
181,85,77,19,0,0,1.920000,71.556262
182,85,77,20,0,0,1.920000,72.100530
183,85,78,20,0,0,1.920000,72.644779
184,86,78,20,0,0,1.920000,73.190160
185,86,78,21,0,0,1.920000,73.736354
186,86,78,22,0,0,1.920000,74.280292
187,87,78,22,0,0,1.920000,74.826142
188,87,78,23,0,0,1.920000,75.371710
189,87,79,23,0,0,1.920000,75.916910
190,88,79,23,0,0,1.920000,76.463003
191,88,79,24,0,0,1.920000,77.010017
192,88,79,25,0,0,1.920000,77.554461
193,89,79,25,0,0,1.920000,78.100578
194,89,80,25,0,0,1.920000,78.646333
195,89,80,26,0,0,1.920000,79.191931
196,90,80,26,0,0,1.920000,79.737857
197,90,80,27,0,0,1.920000,80.284430
198,90,80,28,0,0,1.920000,80.828129
199,91,80,28,0,0,1.920000,81.373648
200,91,81,28,0,0,1.920000,81.919575
