Total Points,Strength,Dexterity,Intelligence,Vigor,Constitution,Height,Value
100,50,50,0,0,0,1.920000,21.833305
101,50,51,0,0,0,1.920000,22.203151
102,51,51,0,0,0,1.920000,22.579261
103,51,52,0,0,0,1.920000,22.951854
104,52,52,0,0,0,1.920000,23.330594
105,53,52,0,0,0,1.920000,23.705734
106,53,53,0,0,0,1.920000,24.086905
107,53,54,0,0,0,1.920000,24.464394
108,54,54,0,0,0,1.920000,24.847799
109,54,55,0,0,0,1.920000,25.227443
110,55,55,0,0,0,1.920000,25.612887
111,55,56,0,0,0,1.920000,25.994492
112,56,56,0,0,0,1.920000,26.381782
113,56,57,0,0,0,1.920000,26.765158
114,57,57,0,0,0,1.920000,27.154105
115,57,58,0,0,0,1.920000,27.539064
116,58,58,0,0,0,1.920000,27.929480
117,58,59,0,0,0,1.920000,28.315836
118,59,59,0,0,0,1.920000,28.707537
119,59,60,0,0,0,1.920000,29.095109
120,60,60,0,0,0,1.920000,29.487913
121,60,61,0,0,0,1.920000,29.876521
122,61,61,0,0,0,1.920000,30.270250
123,62,61,0,0,0,1.920000,30.659717
124,62,62,0,0,0,1.920000,31.054196
125,62,63,0,0,0,1.920000,31.444351
126,63,63,0,0,0,1.920000,31.839407
127,63,64,0,0,0,1.920000,32.230078
128,64,64,0,0,0,1.920000,32.625544
129,64,65,0,0,0,1.920000,33.016566
130,65,65,0,0,0,1.920000,33.412275
131,65,66,0,0,0,1.920000,33.803486
132,66,66,0,0,0,1.920000,34.199277
133,66,67,0,0,0,1.920000,34.590516
134,67,67,0,0,0,1.920000,34.986231
135,67,68,0,0,0,1.920000,35.377343
136,68,68,0,0,0,1.920000,35.772828
137,68,69,0,0,0,1.920000,36.163662
138,69,69,0,0,0,1.920000,36.558765
139,69,70,0,0,0,1.920000,36.949172
140,70,70,0,0,0,1.920000,37.343747
141,70,71,0,0,0,1.920000,37.733583
142,71,71,0,0,0,1.920000,38.127487
143,71,72,0,0,0,1.920000,38.516610
144,72,72,0,0,0,1.920000,38.909705
145,72,73,0,0,0,1.920000,39.297979
146,73,73,0,0,0,1.920000,39.690127
147,73,74,0,0,0,1.920000,40.077420
148,74,74,0,0,0,1.920000,40.468492
149,74,75,0,0,0,1.920000,40.854673
150,75,75,0,0,0,1.920000,41.244540
151,75,75,1,0,0,1.920000,41.634148
152,75,75,2,0,0,1.920000,42.023678
153,76,75,2,0,0,1.920000,42.415896
154,76,75,3,0,0,1.920000,42.808904
155,76,75,4,0,0,1.920000,43.201677
156,77,75,4,0,0,1.920000,43.596071
157,77,75,5,0,0,1.920000,43.992113
158,77,75,6,0,0,1.920000,44.387759
159,78,75,6,0,0,1.920000,44.784154
160,78,75,7,0,0,1.920000,45.182855
161,78,75,8,0,0,1.920000,45.580999
162,79,75,8,0,0,1.920000,45.979214
163,79,75,9,0,0,1.920000,46.380196
164,79,75,10,0,0,1.920000,46.780459
165,80,75,10,0,0,1.920000,47.180314
166,80,75,11,0,0,1.920000,47.583194
167,80,76,11,0,0,1.920000,47.985648
168,80,76,12,0,0,1.920000,48.387646
169,81,76,12,0,0,1.920000,48.792323
170,81,76,13,0,0,1.920000,49.196717
171,81,76,14,0,0,1.920000,49.600066
172,82,76,14,0,0,1.920000,50.005970
173,82,76,15,0,0,1.920000,50.411490
174,82,76,16,0,0,1.920000,50.815805
175,83,76,16,0,0,1.920000,51.222750
176,83,77,16,0,0,1.920000,51.629914
177,83,77,17,0,0,1.920000,52.036175
178,84,77,17,0,0,1.920000,52.443995
179,84,77,18,0,0,1.920000,52.852064
180,84,77,19,0,0,1.920000,53.258683
181,85,77,19,0,0,1.920000,53.667196
182,85,77,20,0,0,1.920000,54.075398
183,85,78,20,0,0,1.920000,54.483584
184,86,78,20,0,0,1.920000,54.892620
185,86,78,21,0,0,1.920000,55.302265
186,86,78,22,0,0,1.920000,55.710219
187,87,78,22,0,0,1.920000,56.119606
188,87,78,23,0,0,1.920000,56.528782
189,87,79,23,0,0,1.920000,56.937683
190,88,79,23,0,0,1.920000,57.347252
191,88,79,24,0,0,1.920000,57.757513
192,88,79,25,0,0,1.920000,58.165845
193,89,79,25,0,0,1.920000,58.575433
194,89,80,25,0,0,1.920000,58.984750
195,89,80,26,0,0,1.920000,59.393948
196,90,80,26,0,0,1.920000,59.803393
197,90,80,27,0,0,1.920000,60.213323
198,90,80,28,0,0,1.920000,60.621097
199,91,80,28,0,0,1.920000,61.030236
200,91,81,28,0,0,1.920000,61.439682
